Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"(L/D)MAX AVIATION SAFETY GROUP, L.L.C. [SAN PEDRO,CALIFORNIA]",NNX12TC58P,NSSC - NASA Shared Services Center,Houston,TX,'22',4/26/2012,5/25/2012,", Woman Owned Small Business, Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","12,350","12,350","12,350",611430,N/A,N/A,IGF::OT::IGF OTHER FUNCTION: INTERNAL TRAINING COURSE TITLE: CABIN SURVIVABLITY INVESTIGATION TRAINING
"1-SOURCE ELECTRONICS, INC. [HAUPPAUGE,NEW YORK]",NND11CE17W,AFRC - Armstrong Flight Research Center,,NY,'01',9/26/2011,10/17/2011,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",50,"5,275","5,275",334417,N/A,N/A,"backshell, connectors and contacs"
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","378,078","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNA11AC24D,ARC - Ames Research Center,Moffett Field,CA,'14',8/31/2011,12/14/2011,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price",0,"6,960","6,960",323114,N/A,N/A,DIGITAL CAMERA
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNA12AC08D,ARC - Ames Research Center,New York,NY,'08',8/9/2012,9/30/2012,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","5,899","5,899","5,899",323114,N/A,N/A,NIKON D4 DIGITAL SLR CAMERA
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNK12MB62D,KSC - Kennedy Space Flight Center,New York,NY,'08',8/29/2012,9/29/2012,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","5,379","5,379","5,379",323114,N/A,N/A,CANON CAMERA EQUIPMENT
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL12AA78D,LaRC - Langley Research Center,New York,NY,'08',6/5/2012,7/6/2012,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","3,470","3,470","3,470",323114,N/A,N/A,NIKON CAMERA LENSES
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL12AB25D,LaRC - Langley Research Center,New York,NY,'08',8/7/2012,9/15/2012,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","23,449","23,449","23,449",323114,N/A,N/A,NIKON CAMERA AND ACCESSORIES
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC11VD98P,GRC - Glenn Research Center,ANDOVER,MA,'05',6/24/2011,7/29/2011,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-83,"7,346","7,346",423410,N/A,N/A,HIGH RESOLUTION GIGE CAMERA
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC11VE56P,GRC - Glenn Research Center,ANDOVER,MA,'05',4/5/2011,4/29/2011,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-29,"3,123","3,123",423410,N/A,N/A,CAMERA
