Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"1-SOURCE ELECTRONICS, INC. [HAUPPAUGE,NEW YORK]",NND11CE17W,AFRC - Armstrong Flight Research Center,,NY,'01',9/26/2011,10/17/2011,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","5,225","5,275","5,275",334417,N/A,N/A,"backshell, connectors and contacs"
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","815,038","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"1105 MEDIA INC [CHATSWORTH,CALIFORNIA]",NNJ09JB28P,JSC - Johnson Space Flight Center,,CA,'30',5/7/2009,7/14/2011,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"11,151","11,151",511120,N/A,N/A,Renew the yearly online subscription of the Federal Employee News Digest
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNA11AC24D,ARC - Ames Research Center,Moffett Field,CA,'14',8/31/2011,12/14/2011,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","6,960","6,960","6,960",323114,N/A,N/A,DIGITAL CAMERA
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC11VD98P,GRC - Glenn Research Center,ANDOVER,MA,'05',6/24/2011,7/29/2011,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","7,429","7,346","7,346",423410,N/A,N/A,HIGH RESOLUTION GIGE CAMERA
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC11VE56P,GRC - Glenn Research Center,ANDOVER,MA,'05',4/5/2011,4/29/2011,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","3,152","3,123","3,123",423410,N/A,N/A,CAMERA
"259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY [CARLSBAD,CALIFORNIA]",NNA10DG45D,ARC - Ames Research Center,Carlsbad,CA,'50',9/29/2010,10/28/2010,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price",0,"9,083","9,083",333314,N/A,N/A,MICROSCOPE CAMERA
"259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY [CARLSBAD,CALIFORNIA]",NNC11DE56D,GRC - Glenn Research Center,Carlsbad,CA,'50',8/9/2011,8/19/2011,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","9,763","9,763","9,763",333314,N/A,N/A,PROGRES C14 PLUS COOLED CAMERA
"2M SOLUTIONS, INC. [GRAND PRAIRIE,TEXAS]",NNK11OM24P,KSC - Kennedy Space Flight Center,Grand Prairie,TX,'06',9/26/2011,10/31/2011,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, Subchapter S Corporation","Purchase Order, Firm Fixed Price","24,465","24,465","24,465",334290,NNK11394564Q,"Brandi Roberts, 321-867-4467, brandi.roberts@nasa.gov",VEILUX CLASS 1 DIVISION 2 EXPLOSION PROOF CAMERAS
"3 D PLUS USA INC [MCKINNEY,TEXAS]",NNG11RD88P,GSFC - Goddard Space Flight Center,McKinney,TX,'03',12/30/2010,1/29/2011,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","36,500","36,500","36,500",334413,N/A,N/A,NAND Flash Device with 64MB PROM
