Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","202,145","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"1105 MEDIA INC [CHATSWORTH,CALIFORNIA]",NNJ09JB28P,JSC - Johnson Space Flight Center,,CA,'30',5/7/2009,7/14/2011,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","5,310","11,151","11,151",511120,N/A,N/A,Renew the yearly online subscription of the Federal Employee News Digest
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNM09AD08D,MSFC - Marshall Space Flight Center,New York,NY,'08',9/14/2009,9/28/2009,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","7,537","7,537","7,537",323114,N/A,N/A,High End Digital Camera
"1859-HISTORIC HOTELS, LTD [WILLIAMSBURG,VIRGINIA]",NNL08AE12P,LaRC - Langley Research Center,,VA,'01',5/13/2008,6/12/2008,"Other Than Small Business - For Profit Organization, Service Provider","Purchase Order, Firm Fixed Price","-7,200",0,0,721110,N/A,N/A,NASA Critical Design Review - Conference
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNJ08JE09P,JSC - Johnson Space Flight Center,Andover,MA,'05',4/30/2008,5/12/2009,", Woman Owned Small Business, Small Business - For Profit Organization, Service Provider, Small Business, Women Owned","Purchase Order, Firm Fixed Price",0,"19,633","19,633",423410,N/A,N/A,Imperx Camera and Accessories
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL09AC76P,LaRC - Langley Research Center,,MA,'05',5/13/2009,6/12/2009,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","48,166","48,041","48,041",334119,N/A,N/A,IMPERX IPX-11M5 SERIES DIGITAL CCD CAMERA AND RACK-MOUNT COMPUTER SYSTEM
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL09AD49P,LaRC - Langley Research Center,Andover,MA,'05',6/25/2009,8/27/2009,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","19,369","19,369","19,369",423410,N/A,N/A,CMOS 1.4 MEGAPIXEL CAMERAS AND POWER SUPPLY
"3 D CADWARE INCORPORATED [TEMECULA,CALIFORNIA]",NND08AB13P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',2/14/2008,3/9/2009,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price",0,"7,165","7,165",443120,N/A,N/A,SAP Purchase Requisition: 4200234763 COSMOSWorks Advanced Professional Software Upgrades/Subscription Service
"3 D PLUS USA INC [MCKINNEY,TEXAS]",NNL09AF88P,LaRC - Langley Research Center,,TX,'03',9/28/2009,3/1/2010,"Other Than Small Business - Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","14,300","14,300","14,300",334413,N/A,N/A,3D Plus Flash NAND Memory  Devices
"3 D PLUS USA INC [MCKINNEY,TEXAS]",NNL09AG16P,LaRC - Langley Research Center,,TX,'03',9/25/2009,5/25/2010,"Other Than Small Business - Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","40,427","40,427","40,427",334413,NNL09313212Q,"Deonte Watters, 757-864-5047, deonte.watters@nasa.gov",3D Plus Access Time Memory Module
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ08JD75P,JSC - Johnson Space Flight Center,,SC,'05',4/2/2008,3/22/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development, Service Provider, Small Business","Purchase Order, Firm Fixed Price",0,"9,000","9,000",541512,N/A,N/A,Annual Printer Maintenance
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL08AF81P,LaRC - Langley Research Center,Rock Hill,SC,'05',7/3/2008,9/21/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development, Service Provider","Purchase Order, Firm Fixed Price",0,"86,120","86,120",541512,N/A,N/A,"Annual Service Plan for ThermoJet Printer, ELITE service Plan for Viper SLA System, and Premier Service Plan for SLA 7000 System"
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL09AE08P,LaRC - Langley Research Center,Hampton,VA,'01',7/7/2009,12/31/2009,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","38,691","38,691","38,691",541512,N/A,N/A,3D SYSTEMS ANNUAL MAINTENANCE
