Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNC06DE17D,GRC - Glenn Research Center,New York,NY,'08',9/26/2006,10/3/2006,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","5,318","5,318","5,318",323114,N/A,N/A,"NIKON D2XS BODY, NIKON SB800 FLASH, NIKON 24-120 LENS, NIKON ENEL4a BATTERY, LEXAR 4GB MEMORY CARD"
"1ST CALL ELECTRONICS INCORPORATED [MISSION VIEJO,CALIFORNIA]",NNM06AE10P,MSFC - Marshall Space Flight Center,LAGUNA HILLS,CA,'42',9/19/2006,11/26/2006,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price","4,025","4,025","4,025",[None Indicated],N/A,N/A,"ET9.1 CONNECTOR, RDH SIDE MFG AMPH, MS3116F12-10P, QUANTITY 350 EACH"
"2020 COMPANY LIMITED LIABILITY COMPANY [FAIRFAX,VIRGINIA]",NND05AA49C,AFRC - Armstrong Flight Research Center,FAIRFAX,VA,'11',2/11/2005,3/14/2006,", Small Disadvantaged Business, Small Business Innovative Research, Small Business - Minority Owned, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Small Business, Small Disadvantaged Business, Sub Continent Asian American Owned Business","Definitive Contract, Firm Fixed Price",0,"99,907","99,907",541690,N/A,N/A,RESEARCH AND DEVELOPMENT STTR PHASE I
"2L RESEARCH [OWENS CROSS ROADS,ALABAMA]",NNC06CB56C,GRC - Glenn Research Center,Owens Cross Roads,AL,'05',1/24/2006,7/24/2006,", Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, Small Business","Definitive Contract, Firm Fixed Price","100,000","100,000","100,000",541710,N/A,N/A,"STTR PHASE I STENNIS PROPOSAL ENTITLED: INTELLIGENT AGENTS FOR IMPROVED GROUND TEST-OPERATIONS PROPOSAL NO. 05-T9.01-9891"""
"3 D CADWARE INCORPORATED [TEMECULA,CALIFORNIA]",NND06AB51P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',3/30/2006,3/31/2007,", Woman Owned Small Business, Small Business - Small Business, Women Owned","Purchase Order, Firm Fixed Price","6,135","6,135","6,135",443120,N/A,N/A,COSMOWORKS ANNUAL MAINTENANCE
"3 D PLUS USA INCORPORATED [MC KINNEY,TEXAS]",NNG06LD02P,GSFC - Goddard Space Flight Center,McKinney,TX,'03',11/15/2005,2/8/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","8,994","8,994","8,994",[None Indicated],N/A,N/A,"MEMORY 2 GB SDRAM 128M X 16 STACK OF 4X 512MB, ENGINEERING MODEL; MEMORY 4-GB FLASH 512K X 8 COMMERCIAL MODEL"
"3 D PLUS USA INCORPORATED [MC KINNEY,TEXAS]",NNL06AB80P,LaRC - Langley Research Center,McKinney,TX,'03',2/6/2006,4/3/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","11,100","11,100","11,100",[None Indicated],N/A,N/A,MECHANICAL SAMPLES
"3D PERCEPTION [MIAMI,FLORIDA]",NND05AE36P,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'22',9/28/2005,10/3/2005,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price",0,"13,396","13,396",334119,N/A,N/A,COMPUTER SOFTWARE
"3D PERCEPTION INCORPORATED [MIAMI,FLORIDA]",NND06AB95P,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'22',5/1/2006,7/1/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","16,305","16,305","16,305",334119,N/A,N/A,COMPACT VIEW PROJECTOR
"3D PERCEPTION INCORPORATED [MIAMI,FLORIDA]",NND06AC77P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',6/16/2006,8/7/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","99,923","99,923","99,923",334119,N/A,N/A,DLP PROJECTOR AND CEILING MOUNTS
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC05VG59P,GRC - Glenn Research Center,Valencia,CA,'25',6/14/2005,4/30/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price",0,"17,000","17,000",[None Indicated],N/A,N/A,PREMIER SERVICE PLAN - VIPER SLA SYS; 3D MAINTENANCE AGREEMENT ATTACHED
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC06MB33P,GRC - Glenn Research Center,Valencia,CA,'25',11/15/2005,11/30/2005,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","7,455","7,455","7,455",[None Indicated],N/A,N/A,"DURAFORM POLYAMIDE MAT 10 KG SIZE, WATER CLEAR RESIN SOMOS 10120 10 KG CONTAINER"
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC06MB70P,GRC - Glenn Research Center,Valencia,CA,'25',3/14/2006,3/23/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","4,544","4,544","4,544",[None Indicated],N/A,N/A,SOMOS 10120 WATERCLEAR RESIN 10KG CTNR
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNC06MC46P,GRC - Glenn Research Center,Valencia,CA,'25',5/9/2006,5/22/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","12,010","12,010","12,010",[None Indicated],N/A,N/A,Duraform EX bucket
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNC06MD33P,GRC - Glenn Research Center,Valencia,CA,'25',6/20/2006,6/30/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","2,926","2,926","2,926",[None Indicated],N/A,N/A,"24025-902 RESIN, ACCURA BLUESTON"
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNC06VA96P,GRC - Glenn Research Center,Valencia,CA,'25',3/23/2006,3/5/2007,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","26,000","26,000","26,000",333999,N/A,N/A,SV-PREMIER SERVICE PLAN-SLS 2500 PLUS
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC06VB17P,GRC - Glenn Research Center,Valencia,CA,'25',3/13/2006,4/30/2007,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","17,000","17,000","17,000",[None Indicated],N/A,N/A,PREMIER SERVICE PLAN-VIPER SLA SYSTEM
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNC06VJ61D,GRC - Glenn Research Center,Valencia,CA,'25',8/8/2006,8/18/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","24,725","24,725","24,725",[None Indicated],N/A,N/A,"LASER HEAD ASSY(REFURB), AIR FRIGHT"
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNG05EB91P,GSFC - Goddard Space Flight Center,,CA,'25',2/10/2005,2/28/2007,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","6,995","13,990","13,990",[None Indicated],N/A,N/A,Thermojet Printer Annual Maintenance Plan
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNJ05JA91P,JSC - Johnson Space Flight Center,,CA,'25',4/22/2005,3/23/2008,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","6,000","17,985","17,985",[None Indicated],N/A,N/A,PRINTER MAINTENANCE
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNL05AI46P,LaRC - Langley Research Center,Valencia,CA,'25',9/22/2005,9/21/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price",0,"66,140","66,140",333999,N/A,N/A,PREVENTATIVE AND ON CALL MAINTENANCE SERVICES FOR THERMOJET PRINTER
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNL06AK36P,LaRC - Langley Research Center,,CA,'25',9/22/2006,10/11/2007,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","83,961","83,960","83,960",333999,N/A,N/A,THERMO JET PRINTER ANNUAL SERVICE PLAN
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNM05AE06P,MSFC - Marshall Space Flight Center,VALENCIA,CA,'25',6/10/2005,6/9/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price",0,"7,800","7,800",[None Indicated],N/A,N/A,4200104872 MAINTENANCE ON VIPER MODEL STEROLITHOGRAPHY SYSTEM
"3DGEO DEVELOPMENT INC [SANTA CLARA,CALIFORNIA]",NNA04CA06C,ARC - Ames Research Center,,CA,'15',12/12/2003,11/30/2005,", Small Business Innovative Research, Small Business - Small Business","Definitive Contract, Firm Fixed Price",0,"718,000","906,000",541710,N/A,N/A,SBIR PROGRAM 2003
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNK06MA43B,KSC - Kennedy Space Flight Center,[N/A for IDVs],,'NA',1/10/2006,[None Indicated],"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Indefinite Delivery Contract, Firm Fixed Price",0,0,0,424690,N/A,N/A,HFE-7100
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNK06MA50D,KSC - Kennedy Space Flight Center,Orlando,FL,'24',1/10/2006,2/20/2006,"Other Than Small Business - For Profit Organization, Manufacturer Of Goods","Delivery Order, Firm Fixed Price","430,332","430,332","430,332",424690,N/A,N/A,HFE-7100
