Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","216,000","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNC06DE17D,GRC - Glenn Research Center,New York,NY,'08',9/26/2006,10/3/2006,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price",0,"5,318","5,318",323114,N/A,N/A,"NIKON D2XS BODY, NIKON SB800 FLASH, NIKON 24-120 LENS, NIKON ENEL4a BATTERY, LEXAR 4GB MEMORY CARD"
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNM07AD14D,MSFC - Marshall Space Flight Center,NEW YORK,NY,'08',7/19/2007,7/27/2007,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","21,794","21,794","21,794",323114,N/A,N/A,CAMERA AND ACCESSORIES
"1ST CALL ELECTRONICS INCORPORATED [MISSION VIEJO,CALIFORNIA]",NNM06AE10P,MSFC - Marshall Space Flight Center,LAGUNA HILLS,CA,'42',9/19/2006,11/26/2006,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price",0,"4,025","4,025",[None Indicated],N/A,N/A,"ET9.1 CONNECTOR, RDH SIDE MFG AMPH, MS3116F12-10P, QUANTITY 350 EACH"
"1ST VISION INCORPORATED [ANDOVER,MASSACHUSETTS]",NNG07EO02P,GSFC - Goddard Space Flight Center,,MA,'05',8/16/2007,12/7/2007,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price","10,791","10,736","10,736",423430,N/A,N/A,"Purchase Imperx GigE IPX-4M15T-VMF 1.2 monochrome CCD"""
"1ST VISION INCORPORATED [ANDOVER,MASSACHUSETTS]",NNL07AE18P,LaRC - Langley Research Center,,MA,'05',6/14/2007,7/16/2007,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price","12,852","12,852","12,852",423430,N/A,N/A,High Resolution Digital Camera
"1ST VISION INCORPORATED [ANDOVER,MASSACHUSETTS]",NNL07AI28P,LaRC - Langley Research Center,Andover,MA,'05',9/14/2007,9/30/2007,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price","12,470","12,470","12,470",443130,NNL07217460Q,N/A,CAMERA
"1ST VISION INCORPORATED [ANDOVER,MASSACHUSETTS]",NNL07AJ36P,LaRC - Langley Research Center,Andover,MA,'05',9/28/2007,10/28/2007,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price","12,470","12,470","12,470",423430,N/A,N/A,Camera
"2006 BRAZORIA VENTURES LIMITED LIABILITY COMPANY [WEST COLUMBIA,TEXAS]",NNJ07JF45P,JSC - Johnson Space Flight Center,West Columbia,TX,'14',1/30/2007,8/9/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","2,990","2,990","2,990",[None Indicated],N/A,N/A,Senior Staff Retreat at Columbia Lakes Resort Hotel
"2020 COMPANY LIMITED LIABILITY COMPANY [FALLS CHURCH,VIRGINIA]",NNX07CA42P,NSSC - NASA Shared Services Center,,VA,'08',1/19/2007,1/18/2008,", Small Disadvantaged Business, Small Business - Minority Owned, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Small Disadvantaged Business, Sub Continent Asian American Owned Business","Purchase Order, Firm Fixed Price","99,647","99,647","99,647",541710,N/A,N/A,Aero-Acoustic-Structural Optimization Analysis and Testing
