Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"10X GENOMICS, INC. [PLEASANTON,CALIFORNIA]",80NSSC18P2291,NSSC - NASA Shared Services Center,PLEASANTON,CA,'15',6/6/2018,6/27/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","125,000","125,000","125,000",334516,N/A,N/A,10X 1 EA 120223 CHROMIUM CONTROLLER AND 1 EA 120263 SINGLE CELL CONTROLLER
"1ST CHOICE AEROSPACE INC. [MIRAMAR,FLORIDA]",NND16SE62P,AFRC - Armstrong Flight Research Center,CHICAGO,IL,'07',9/30/2016,5/31/2018,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,"19,700","19,700",336413,NND16SE62P,N/A,PN: 015U0420-2 (TOP KIT) BULKHEAD PANEL REPLACEMENT KITS
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND15AC52D,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',9/24/2015,11/27/2015,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",-35,"11,491","11,491",337214,N/A,N/A,DESIGN AND INSTALLATION OF CUBICLES IN B703 RMS N212 AND N113.
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND17FF11D,AFRC - Armstrong Flight Research Center,COSTA MESA,CA,'48',2/3/2017,5/25/2017,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,"1,385","1,385",337214,N/A,N/A,B4800/ROOM 1409B FURNITURE
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND17FF14D,AFRC - Armstrong Flight Research Center,COSTA MESA,CA,'48',5/23/2017,9/28/2017,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,0,0,337214,N/A,N/A,"DESIGN&INSTALL OF FURNITURE FOR B703, ROOM S332 CUBE WALL REPLACEMENT"
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",80NSSC17P0802,NSSC - NASA Shared Services Center,ANDOVER,MA,'03',8/4/2017,8/4/2017,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned","Purchase Order, Firm Fixed Price",0,"10,949","10,949",423410,N/A,N/A,"IGF::OT::IGFCAMERA, CAMERA LINK BASE"
"259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY [CARLSBAD,CALIFORNIA]",80NSSC18F1828,NSSC - NASA Shared Services Center,CARLSBAD,CA,'49',8/28/2018,10/16/2018,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","29,124","29,124","29,124",333314,80NSSC18Q1200,N/A,PIXEL MONO CAMERAS
"259 HOLDINGS, LTD., LLC [CARLSBAD,CALIFORNIA]",80NSSC18P2404,NSSC - NASA Shared Services Center,CARLSBAD,CA,'49',7/13/2018,10/16/2018,", Woman Owned Small Business, Small Business - For Profit Organization, Limited Liability Corporation, Other Business Or Organization, Small Business, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","205,200","205,200","205,200",334516,N/A,N/A,OTTHIS ORDER IS FOR A ZEISS FLOURECENT MICROSCOPE
"3 H TECHNOLOGY INSTITUTE LLC [MEDFORD,NEW JERSEY]",80NSSC17P0662,NSSC - NASA Shared Services Center,MEDFORD,NJ,'03',7/28/2017,3/21/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"86,850","86,850",334118,N/A,N/A,IGF::OT::IGFYOKOGAWA AQ6370D
"3 H TECHNOLOGY INSTITUTE LLC [MEDFORD,NEW JERSEY]",80NSSC17P1499,NSSC - NASA Shared Services Center,MEDFORD,NJ,'03',9/8/2017,3/26/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"49,235","49,235",443142,N/A,N/A,IGF::OT::IGFMARKFORGED SINTER-2 - SINTERING OVEN
