Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"15 LIGHTYEARS, INC. [LONGWOOD,FLORIDA]",80KSC019A0001,KSC - Kennedy Space Flight Center,[N/A for IDVs],,'NA',11/15/2018,[None Indicated],", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,238210,80KSC018Q0028,N/A,ELECTRICAL CONSTRUCTION MASTER BLANKET PURCHASE AGREEMENT (BPA)PERIOD OF PERFORMANCE: 11/15/2018 - 11/14/2023
"15 LIGHTYEARS, INC. [LONGWOOD,FLORIDA]",80KSC019F0161,KSC - Kennedy Space Flight Center,ORLANDO,FL,'08',6/13/2019,1/31/2020,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","BPA Call, Firm Fixed Price","237,750","247,128","247,128",238210,N/A,N/A,"INSTALL PHOTOVOLTAIC PANELS AT ELECTRICAL MAINTENANCE FACILITY, PCN: 99217. PERIOD OF PERFORMANCE: JUNE 13, 2019 - OCTOBER 11, 2019"
"15 LIGHTYEARS, INC. [LONGWOOD,FLORIDA]",80KSC019F0299,KSC - Kennedy Space Flight Center,ORLANDO,FL,'08',6/6/2019,8/5/2019,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","BPA Call, Firm Fixed Price","55,300","55,300","55,300",238210,N/A,N/A,"PROVIDE LIGHTING ON TOWER A LEVEL 25/40 TOWER F 5TH FLOOR VEHICLE ASSEMBLY BUILDING AT KENNEDY SPACE CENTER, FL, PCN: 99711"
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND17FF11D,AFRC - Armstrong Flight Research Center,COSTA MESA,CA,'48',2/3/2017,5/25/2017,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,"1,385","1,385",337214,N/A,N/A,B4800/ROOM 1409B FURNITURE
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND17FF14D,AFRC - Armstrong Flight Research Center,COSTA MESA,CA,'48',5/23/2017,9/28/2017,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,0,0,337214,N/A,N/A,"DESIGN&INSTALL OF FURNITURE FOR B703, ROOM S332 CUBE WALL REPLACEMENT"
"2082 TECHNOLOGY LLC [BREA,CALIFORNIA]",80NSSC19P2226,NSSC - NASA Shared Services Center,BREA,CA,'39',9/16/2019,12/27/2019,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price","129,625","129,625","129,625",423410,80NSSC19Q1073,N/A,"OT; 25 - EX1030SHD-B-L5SN2AP1 PTZ,1080P/1080I, 30X, 500M LASER, GEN 2 IP/H.264/H.265 +3G SDI, 24VAC, POE, SONY 7520, VISCA OVER IP CONTROL, ZDP, FULL-CABLE.CORROSION RESISTANT TREATMENT, NITROGEN FILLED."
"259 HOLDINGS LIMITED LIMITED LIABILITY COMPANY [CARLSBAD,CALIFORNIA]",80NSSC18F1828,NSSC - NASA Shared Services Center,CARLSBAD,CA,'49',8/28/2018,10/16/2018,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price",0,"29,124","29,124",333314,80NSSC18Q1200,N/A,PIXEL MONO CAMERAS
"259 HOLDINGS, LTD., LLC [CARLSBAD,CALIFORNIA]",80NSSC18P2404,NSSC - NASA Shared Services Center,CARLSBAD,CA,'49',7/13/2018,10/16/2018,", Woman Owned Small Business, Small Business - For Profit Organization, Limited Liability Corporation, Other Business Or Organization, Small Business, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price",0,"205,200","205,200",334516,N/A,N/A,OTTHIS ORDER IS FOR A ZEISS FLOURECENT MICROSCOPE
"3D CONTROL SYSTEMS, INC. [SAN FRANCISCO,CALIFORNIA]",80NSSC19P0047,NSSC - NASA Shared Services Center,SAN FRANCISCO,CA,'12',10/11/2018,10/11/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","25,000","25,000","25,000",541519,N/A,N/A,OTLARC 3DPRINTEROS SOFTWARE - 1 YEAR ENTERPRISE SITE LICENSE
"3D MATERIAL TECHNOLOGIES, LLC [DELAND,FLORIDA]",80NSSC18P3519,NSSC - NASA Shared Services Center,DELAND,FL,'06',9/12/2018,7/31/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"23,618","23,618",332999,N/A,N/A,OT - ADDITIVE MANUFACTURING
"3D MATERIAL TECHNOLOGIES, LLC [DELAND,FLORIDA]",80NSSC19P1818,NSSC - NASA Shared Services Center,DELAND,FL,'06',8/14/2019,10/23/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price","51,795","51,795","51,795",332999,80NSSC19Q1006,N/A,3D MATERIAL TECHNOLOGIES GRCOP-42 EOS M290 WITNESS SPECIMENS AND CHAMBERS
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC18P3499,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',9/14/2018,4/22/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"34,940","34,940",334413,N/A,N/A,IGF::OT::IGF  MEMORY FOR DEVELOPMENT BOARD
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC18P3601,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',9/18/2018,10/9/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"44,150","44,150",334413,N/A,N/A,3DFN64G08VS8695 MS
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC19P1111,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',5/17/2019,9/23/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","21,050","21,050","21,050",334413,N/A,N/A,EDAC NAND FLASH FOR NAVIGATION DOPPLER LIDAR (NDL)
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC19P1353,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',6/24/2019,10/30/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","16,610","16,610","16,610",334413,N/A,N/A,"OT: 1 - 3DFN128G08VS8308 MB 128GB NAND FLASH (16G X 8) 3.3V MILITARY INDUSTRIAL GRADE, 2 - 3DFN128G08VS8308 IB 128GB NAND FLASH (16G X 8) 3.3V INDUSTRIAL GRADE"
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC18P0440,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',12/18/2017,12/31/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"39,000","39,000",811219,80NSSC18Q0110,N/A,SLA7000 AND VIPER MAINTENANCE AGREEMENT
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC19P0103,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',11/1/2018,12/31/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","39,000","39,000","39,000",811219,N/A,N/A,OTTHIS IS A PURCHASE ORDER FOR ANNUAL MAINTENANCE AGREEMENT FOR 3D SYSTEMS SLA 7000 AND VIPER.
"3DEWITT, LLC [ANCRAMDALE,NEW YORK]",80NSSC19K0967,NSSC - NASA Shared Services Center,ANCRAMDALE,NY,'19',8/5/2019,5/14/2020,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",Grant,"125,000","124,795","124,795",[None Indicated],N/A,N/A,THE DUAL USE EXOPLANET TELESCOPE (DUET) ADVANCES NASA S DISCOVERY MISSIONS TO FIND AND CHARACTERIZE EXO-PLANETARY SYSTEMS. THE NOVEL TELESCOPE DESIGN HAS THE ABILITY TO DETECT EXOPLANETS BOTH INDIRECTLY (WITH RADIAL VELOCITY AND ASTROMETRY TECHNIQUE
"3DEWITT, LLC [ANCRAMDALE,NEW YORK]",80NSSC19K0973,NSSC - NASA Shared Services Center,ANCRAMDALE,NY,'19',8/2/2019,5/15/2021,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",Grant,"259,995","500,000","500,000",[None Indicated],N/A,N/A,"THE MOST IS PARTICULARLY APPLICABLE TO NASA, BECAUSE THE PRIMARY OBJECTIVE IS A FLAT MEMBRANE SURFACE WITH A MINIMAL MASS IDEALLY SUITED FOR SPACE DEPLOYMENT."
"3QC, INC. [FOLSOM,CALIFORNIA]",80ARC018F0045,ARC - Ames Research Center,MOFFETT FIELD,CA,'18',1/19/2018,3/1/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Delivery Order, Firm Fixed Price",0,"75,468","75,468",561990,N/A,N/A,"CONSTRUCTION COMMISSIONING SERVICES NASA AMES BIOSCIENCES COLLABORATIVE FACILITY, N288"
"3RD DEGREE SCREENING, INC [COUNCIL BLUFFS,IOWA]",NNK16ON13P,KSC - Kennedy Space Flight Center,COUNCIL BLUFFS,IA,'03',3/30/2016,3/29/2019,", Small Disadvantaged Business, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price",0,"6,369","6,369",561611,NNK16575851Q,N/A,IGF::OT::IGF BACKGROUND INVESTIGATION SERVICES
"3SL INCORPORATED [HUNTSVILLE,ALABAMA]",80NSSC19P1408,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/5/2019,7/13/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","125,710","311,522","311,522",541511,80NSSC19Q0719,N/A,"THIS PURCHASE ORDER IS FOR CONTINUED MAINTENANCE, TRAINING AND SUPPORT OF THE AGENCY''S 3SL CRADLE SOFTWARE LICENSES, PER THE ATTACHED PRICE SCHEDULE."
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",80NSSC18F1446,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/11/2018,7/14/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price",0,"119,958","119,958",541513,N/A,N/A,THIS IS TO RENEW THE ANNUAL CRADLE (REQUIREMENTS MANAGEMENT SOFTWARE) MAINTENANCE.
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",80NSSC19F0946,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/3/2019,7/2/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price","12,405","12,405","12,405",541513,N/A,N/A,REQUIREMENTS MANAGEMENT MODULE CR-REQ
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC18P3415,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',9/10/2018,10/23/2018,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, Other Business Or Organization, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price",0,"37,484","37,484",334515,80NSSC18Q1263,N/A,TEKTRONIX MSO58:5-BW-2000 OSCILLOSCOPE&ACCESSORIES
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC19P0974,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',4/29/2019,4/29/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, Other Business Or Organization, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","87,400","87,400","87,400",333314,80NSSC19Q0507,N/A,"EVG HP LRR, 15HZ, 532NM,STABLE EVERGREENHP LRR 15HZ STABLE 532NM 340MJ WS"
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC19P1691,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',7/31/2019,7/31/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","53,411","53,411","53,411",334516,N/A,N/A,OT - X-RAY&CRYOGENIC FACILITY VACUUM INSTRUMENTATION
