Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","254,340","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"110 TECHNOLOGY [NASHUA,NEW HAMPSHIRE]",NNC08VB06P,GRC - Glenn Research Center,,NH,'02',1/18/2008,1/31/2008,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Small Business, Small Disadvantaged Business, Women Owned","Purchase Order, Other ","5,050","5,050","5,050",541512,N/A,N/A,"Dual Core Xeon Processor 5130 4MB Cache, 2.00GHz, 1333MHz FSB, PE 1950 PN#409151400"
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNC08DD61D,GRC - Glenn Research Center,New York,NY,'08',8/19/2008,9/2/2008,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","33,248","33,248","33,248",323114,N/A,N/A,CAMERA LENSES
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNM07AD14D,MSFC - Marshall Space Flight Center,NEW YORK,NY,'08',7/19/2007,7/27/2007,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price",0,"21,794","21,794",323114,N/A,N/A,CAMERA AND ACCESSORIES
"1859-HISTORIC HOTELS, LTD [WILLIAMSBURG,VIRGINIA]",NNL08AE12P,LaRC - Langley Research Center,,VA,'01',5/13/2008,6/12/2008,"Other Than Small Business - For Profit Organization, Service Provider","Purchase Order, Firm Fixed Price","7,200",0,0,721110,N/A,N/A,NASA Critical Design Review - Conference
"1ST VISION INCORPORATED [ANDOVER,MASSACHUSETTS]",NNG07EO02P,GSFC - Goddard Space Flight Center,,MA,'05',8/16/2007,12/7/2007,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price",-55,"10,736","10,736",423430,N/A,N/A,"Purchase Imperx GigE IPX-4M15T-VMF 1.2 monochrome CCD"""
"1ST VISION INCORPORATED [ANDOVER,MASSACHUSETTS]",NNL07AJ36P,LaRC - Langley Research Center,Andover,MA,'05',9/28/2007,10/28/2007,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price",0,"12,470","12,470",423430,N/A,N/A,Camera
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNA08AE04P,ARC - Ames Research Center,ANDOVER,MA,'05',7/8/2008,7/31/2008,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Service Provider, Women Owned","Purchase Order, Firm Fixed Price","91,988","91,188","91,188",423410,N/A,N/A,"NNA08AE04P IS WITH 1ST VISION, INC."
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNJ08JE09P,JSC - Johnson Space Flight Center,Andover,MA,'05',4/30/2008,5/12/2009,", Woman Owned Small Business, Small Business - For Profit Organization, Service Provider, Small Business, Women Owned","Purchase Order, Firm Fixed Price","19,633","19,633","19,633",423410,N/A,N/A,Imperx Camera and Accessories
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNJ08JF44P,JSC - Johnson Space Flight Center,Andover,MA,'05',7/25/2008,8/22/2008,", Woman Owned Small Business, Small Business - For Profit Organization, Service Provider, Small Business, Women Owned","Purchase Order, Firm Fixed Price","19,083","19,083","19,083",423410,N/A,N/A,Imperx Camera and Accessories
