Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"1 STOP CAMERA AND ELECTRONIC INCORPORATED [BROOKLYN,NEW YORK]",NNK04OB70P,KSC - Kennedy Space Flight Center,Brooklyn,NY,'11',8/11/2004,8/10/2005,", Small Disadvantaged Business, Small Business - Asian Pacific American Owned Business, Minority Owned, Small Business","Purchase Order, Firm Fixed Price",0,"12,702","12,702",[None Indicated],N/A,N/A,"PANASONIC 50 TV SAMSUNG 40"" TV"""
"2020 COMPANY LIMITED LIABILITY COMPANY [FAIRFAX,VIRGINIA]",NND05AA49C,AFRC - Armstrong Flight Research Center,FAIRFAX,VA,'11',2/11/2005,3/14/2006,", Small Disadvantaged Business, Small Business Innovative Research, Small Business - Minority Owned, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Small Business, Small Disadvantaged Business, Sub Continent Asian American Owned Business","Definitive Contract, Firm Fixed Price","99,907","99,907","99,907",541690,N/A,N/A,RESEARCH AND DEVELOPMENT STTR PHASE I
"3 D PLUS USA INCORPORATED [MC KINNEY,TEXAS]",NNL05AH51P,LaRC - Langley Research Center,McKinney,TX,'03',8/25/2005,9/30/2005,", Small Business ONLY - Small Business, Very Small Business","Purchase Order, Firm Fixed Price","13,500","13,500","13,500",[None Indicated],N/A,N/A,ENGINEERING MODULES
"3D CADWARE INC [TEMECULA,CALIFORNIA]",NND04AB65P,AFRC - Armstrong Flight Research Center,TEMECULA,CA,'49',3/24/2004,3/31/2005,", Woman Owned Small Business, Small Business - Small Business, Women Owned","Purchase Order, Firm Fixed Price",0,"5,825","5,825",[None Indicated],N/A,N/A,COSMOS WORKS AND SOLID WORKS SUBSCRIPTION
"3D PERCEPTION [MIAMI,FLORIDA]",NND05AE36P,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'22',9/28/2005,10/3/2005,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","13,396","13,396","13,396",334119,N/A,N/A,COMPUTER SOFTWARE
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC04ME82P,GRC - Glenn Research Center,Valencia,CA,'25',9/24/2004,11/11/2004,", Small Business ONLY - Small Business",Purchase Order,0,"9,468","9,468",333999,N/A,N/A,
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC05MG76P,GRC - Glenn Research Center,Valencia,CA,'25',5/23/2005,7/8/2005,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","9,680","9,680","9,680",424690,N/A,N/A,CHEMICALS
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC05VE89P,GRC - Glenn Research Center,Valencia,CA,'25',7/6/2005,9/5/2005,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","29,500","29,500","29,500",333999,N/A,N/A,VANGUARD SLS 2055 + SYSTEM
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNC05VG59P,GRC - Glenn Research Center,Valencia,CA,'25',6/14/2005,4/30/2006,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","17,000","17,000","17,000",[None Indicated],N/A,N/A,PREMIER SERVICE PLAN - VIPER SLA SYS; 3D MAINTENANCE AGREEMENT ATTACHED
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNG05EB91P,GSFC - Goddard Space Flight Center,,CA,'25',2/10/2005,2/28/2007,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","6,995","13,990","13,990",[None Indicated],N/A,N/A,Thermojet Printer Annual Maintenance Plan
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNJ05JA91P,JSC - Johnson Space Flight Center,,CA,'25',4/22/2005,3/23/2008,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price","5,985","17,985","17,985",[None Indicated],N/A,N/A,PRINTER MAINTENANCE
