Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","368,101","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"1900, LLC [CLEMSON,SOUTH CAROLINA]",NNL15AE59P,LaRC - Langley Research Center,,SC,'03',7/28/2015,12/1/2015,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Sole Proprietorship","Purchase Order, Firm Fixed Price",0,"4,918","4,918",541330,N/A,N/A,IGF::OT::IGF  IMAGE CORRELATION MICRO STAMP
"1900, LLC [CLEMSON,SOUTH CAROLINA]",NNL15AG18P,LaRC - Langley Research Center,Clemson,SC,'03',9/4/2015,11/1/2015,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Sole Proprietorship","Purchase Order, Firm Fixed Price",0,"5,091","5,091",541330,N/A,N/A,IGF::OT::IGF  FABRICATED MICROSTAMPS USED FOR PATTERNS ON TEST SPECIMENS
"1ST CHOICE AEROSPACE INC. [HEBRON,KENTUCKY]",NND16CC71W,AFRC - Armstrong Flight Research Center,Hebron,KY,'04',8/11/2016,8/18/2016,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Other Minority Owned, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price","5,643","5,643","5,643",336413,N/A,N/A,EXCHANGE OF P/N 4620-86 TOILET FLUSH ASSEMBLY
"1ST CHOICE AEROSPACE INC. [MIRAMAR,FLORIDA]",NND16SE62P,AFRC - Armstrong Flight Research Center,CHICAGO,IL,'07',9/30/2016,5/31/2018,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price","19,700","19,700","19,700",336413,NND16SE62P,N/A,PN: 015U0420-2 (TOP KIT) BULKHEAD PANEL REPLACEMENT KITS
"1ST CHOICE AEROSPACE INC. [MIRAMAR,FLORIDA]",NNL16AA88P,LaRC - Langley Research Center,Miramar,FL,'24',1/22/2016,2/20/2016,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned, Subchapter S Corporation","Purchase Order, Firm Fixed Price","10,950","10,950","10,950",488190,NNL16573529Q,"Emily Nicole Black, Contract Support Buyer, 757-864-6073, emily.black@nasa.gov",DATALINK RECEIVERS FOR NASA AIRCRAFT
"1ST CHOICE AEROSPACE INC. [MIRAMAR,FLORIDA]",NNL16AB05P,LaRC - Langley Research Center,Miramar,FL,'24',2/4/2016,2/15/2016,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned, Subchapter S Corporation","Purchase Order, Firm Fixed Price","6,194","6,194","6,194",336413,NNL16573503Q,"Emily Nicole Black, Contract Support Buyer, 757-864-6073, emily.black@nasa.gov",AIRCRAFT EMERGENCY BATTERY
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND15AB04Z,AFRC - Armstrong Flight Research Center,[N/A for IDVs],,'NA',6/16/2015,[None Indicated],"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,337214,N/A,N/A,IGF::OT::IGF GSA SYSTEMS FURNITURE GS-29F-0026R
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND15AC52D,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',9/24/2015,11/27/2015,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price",0,"11,491","11,491",337214,N/A,N/A,DESIGN AND INSTALLATION OF CUBICLES IN B703 RMS N212 AND N113.
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND16FF20D,AFRC - Armstrong Flight Research Center,SANTA ANA,CA,'46',6/29/2016,9/29/2016,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price","5,730","5,730","5,730",337214,N/A,N/A,"IGF::OT::IGFDESIGN AND INSTALLATION OF FURNITURE IN BUILDING 4800, ROOMS 2342, 2802, 2337, 2327, 2328, 2326, 2323"
