Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"104 INVESTMENT, LLC [LANHAM,MARYLAND]",NNG07DA02C,GSFC - Goddard Space Flight Center,LANHAM,MD,'05',2/13/2007,2/6/2017,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","300,000","3,285,675","3,292,116",531312,N/A,N/A,LEASE OF SPACE IN AEROSPACE BUILDING FOR SEWP PROGRAM OFFICE
"17TH ST. PHOTO SUPPLY, INC. [NEW YORK,NEW YORK]",NNL15AE80P,LaRC - Langley Research Center,New York,NY,'12',7/30/2015,9/18/2015,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","3,398","3,398","3,398",423410,N/A,N/A,PANASONIC VIDEO CAMERA
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL14AB78D,LaRC - Langley Research Center,New York,NY,'12',9/2/2014,10/30/2014,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price",0,"4,449","4,449",323114,N/A,N/A,PORTABLKE TRIPOD SYSTEM
"17TH STREET PHOTO SUPPLY INCORPORATED [NEW YORK,NEW YORK]",NNL15AB77D,LaRC - Langley Research Center,New York,NY,'12',8/7/2015,9/15/2015,", Woman Owned Small Business, Small Business - Women Owned","Delivery Order, Firm Fixed Price","7,462","7,462","7,462",323114,N/A,N/A,PHOTOGRAPHIC SUPPLIES AND EQUIPMENT
"1900, LLC [CLEMSON,SOUTH CAROLINA]",NNL15AE59P,LaRC - Langley Research Center,,SC,'03',7/28/2015,12/1/2015,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Sole Proprietorship","Purchase Order, Firm Fixed Price","4,918","4,918","4,918",541330,N/A,N/A,IGF::OT::IGF  IMAGE CORRELATION MICRO STAMP
"1900, LLC [CLEMSON,SOUTH CAROLINA]",NNL15AG18P,LaRC - Langley Research Center,Clemson,SC,'03',9/4/2015,11/1/2015,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Sole Proprietorship","Purchase Order, Firm Fixed Price","5,091","5,091","5,091",541330,N/A,N/A,IGF::OT::IGF  FABRICATED MICROSTAMPS USED FOR PATTERNS ON TEST SPECIMENS
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND15AB04Z,AFRC - Armstrong Flight Research Center,[N/A for IDVs],,'NA',6/16/2015,[None Indicated],"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,337214,N/A,N/A,IGF::OT::IGF GSA SYSTEMS FURNITURE GS-29F-0026R
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND15AC52D,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',9/24/2015,11/27/2015,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price","11,526","11,491","11,491",337214,N/A,N/A,DESIGN AND INSTALLATION OF CUBICLES IN B703 RMS N212 AND N113.
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC14VC47P,GRC - Glenn Research Center,CLEVELAND,OH,'16',10/29/2014,11/29/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","4,035","4,035","4,035",423410,N/A,N/A,PURCHASE OF 1 - PROSILICA GX1910 GIGE MONOCHROME + SHIPPING
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL14AE16P,LaRC - Langley Research Center,,MA,'03',7/31/2014,8/31/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price",-17,"27,480","27,480",423410,N/A,N/A,HIGH MEGAPIXEL CAMERA
