European Space Agency Paris,ACRI-ST S.A.S.,ROUTE DU PIN MONTARD 260 06904 SOPHIA ANTIPOLISCEDEX France,PREPARATION AND OPERATIONS OF THE MISSION PERFORMANCE CENTRE (MPC) FOR THE GMESSENTINEL-3 MISSION,1/1/2018,12/31/2018,"390,427.00"
European Space Agency Paris,AIM INFRAROT-MODULE GMBH,THERESIENSTRASSE 2 74072 HEILBRONN Germany,Sentinel-3 Satellites C/D Units construction,1/1/2018,12/31/2018,"50,000.00"
European Space Agency Paris,AIRBUS DEFENCE & SPACE NETHERLANDS(FORMER DUTCH SPACE),MENDELWEG 30 2333 CS Leiden The Netherlands,Sentinel 2 Satellites C/D Units construction,1/1/2018,12/31/2018,"37,748.00"
European Space Agency Paris,AIRBUS DEFENCE & SPACE NETHERLANDS(FORMER DUTCH SPACE),MENDELWEG 30 2333 CS Leiden The Netherlands,SENTINEL-5P TROPOMI INSTRUMENT IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,1/1/2018,12/31/2018,"1,117,977.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE LIMITED,GUNNELS WOOD ROAD SG1 2AS STEVENAGE UnitedKingdom,SENTINEL-5P PLATFORM IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,1/1/2018,12/31/2018,"1,845,067.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE LIMITED,GUNNELS WOOD ROAD SG1 2AS STEVENAGE UnitedKingdom,SENTINEL-6 A/B - MPPS,1/1/2018,12/31/2018,"74,734.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE SAS,RUE DES COSMONAUTES 31 31402 TOULOUSE France,COPERNICUS DATA AND INFORMATION ACCESS SERVICES OPERATIONS,1/1/2018,12/31/2018,"15,918,899.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE SAS,RUE DES COSMONAUTES 31 31402 TOULOUSE France,SENTINEL-1 PAYLOAD DATA GROUND SEGMENT SYSTEM OPERATIONS MAINTENANCE ANDEVOLUTIONS,1/1/2018,12/31/2018,"924,240.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE SAS,RUE DES COSMONAUTES 31 31402 TOULOUSE France,SENTINEL-5 FPS ACTIVITY,1/1/2018,12/31/2018,"65,448.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE SAS,RUE DES COSMONAUTES 31 31402 TOULOUSE France,SENTINEL-5P PLATFORM IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,1/1/2018,12/31/2018,"592,090.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE S.A.U,AVENIDA DE ARAGÓN 404 28022  MADRID Spain,EC/ESA COPERNICUS -  SENTINEL-3 IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT.,1/1/2018,12/31/2018,"311,825.00"
European Space Agency Paris,AIRBUS DEFENCE AND SPACE S.A.U,AVENIDA DE ARAGÓN 404 28022  MADRID Spain,Sentinel-3 Satellites C/D Units construction,1/1/2018,12/31/2018,"18,592.00"
European Space Agency Paris,AIRBUS DS GEO SA,RUE DES SATELLITES 5 31030 TOULOUSE CEDEX  4 France,COPERNICUS SPACE COMPONENT DATA ACCESS (CSC DA)  DATA WAREHOUSE,1/1/2018,12/31/2018,"4,310,000.00"
European Space Agency Paris,AIRBUS DS GEO SA,RUE DES SATELLITES 5 31030 TOULOUSE CEDEX  4 France,VERY HIGH RESOLUTION (VHR) IMAGE 2018,1/1/2018,12/31/2018,"24,161,655.00"
European Space Agency Paris,Airbus DS GmbH Sat,Claude-Dornier-Strasse 88090 Immenstaad Germany,Sentinel 2 Satellites C/D Units construction,1/1/2018,12/31/2018,"511,598.00"
