NASA Headquarters (HQ),Bell Textron Inc,annex to  Hybrid-Electric System Integration Development andTesting Activities,1/15/2020,8/8/2024,789472,38.8830649,-77.0162786,32.77511,-97.0581131,
NASA Headquarters (HQ),The Boeing Company,Grand Challenge Vehicle Provider Information ExchangeAnnex,2/28/2020,2/28/2025,789472,38.8830649,-77.0162786,38.7505278,-90.3469121,
NASA Headquarters (HQ),The Boeing Company,Participation in the NASA UAM Grand Challenge,2/28/2020,2/28/2025, ,38.8830649,-77.0162786,38.7505278,-90.3469121,
NASA Headquarters (HQ),The University of North Texas,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,33.207488,-97.1525862,
NASA Headquarters (HQ),Uber Technologies Inc,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932,38.8830649,-77.0162786,40.7526346,-74.0065884,
NASA Headquarters (HQ),Uber Technologies Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,40.7526346,-74.0065884,
NASA Headquarters (HQ),Prodentity LLC,Grand Challenge Vehicle Provider Information ExchangeAnnex,2/3/2020,2/3/2025,789472,38.8830649,-77.0162786,35.244611,-106.618253,
NASA Headquarters (HQ),Prodentity LLC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,35.244611,-106.618253,
NASA Headquarters (HQ),NFT Inc,Grand Challenge Vehicle Provider Information ExchangeAnnex,2/3/2020,2/3/2025,789472,38.8830649,-77.0162786,39.7200436,-105.1944762,
NASA Headquarters (HQ),NFT Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,39.7200436,-105.1944762,
NASA Headquarters (HQ),Metron Aviation Inc,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932,38.8830649,-77.0162786,38.9535966,-77.4247455,
NASA Headquarters (HQ),Metron Aviation Inc,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,38.9535966,-77.4247455,
NASA Headquarters (HQ),Ellis & Associates,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932,38.8830649,-77.0162786,28.4835405,-81.4620144,
NASA Headquarters (HQ),Ellis & Associates,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,28.4835405,-81.4620144,
NASA Headquarters (HQ),ARINC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,33.0700732,-96.8846109,
NASA Headquarters (HQ),ANRA TECHNOLOGIES LLC,Grand Challenge - Development Test Airspace Annex,2/3/2020,2/3/2025,678932,38.8830649,-77.0162786,38.9615316,-77.0854041,
NASA Headquarters (HQ),ANRA TECHNOLOGIES LLC,Participation in the NASA UAM Grand Challenge,2/3/2020,2/3/2025, ,38.8830649,-77.0162786,38.9615316,-77.0854041,
