name,address,note,lat,long,,
Austin Astronomical Society,Austin P.O. Box 12831,http://www.austinastro.org,,,,
Back Bay Amateur Astronomers,Virginia Beach P.O. Box 9877,87 members,,,,
Baltimore Astronomical Society,Baltimore Maryland Academy of Science at 601 Light St.,140 members,,,,
Barnard Astronomical Society,Chattanooga 838 Belvoir Hills Dr.,51 members,,,,
Barnard-Seyfert Astronomical Society,Brentwood 1000 Oman Dr.,102 members,,,,
Bartlesville Astronomical Society,Bartlesville Rt. 2 - Box 940,918-333-1966,,,,
Baton Rouge Astronomical Society,Baton Rouge 6348 Double Tree Ct.,http://www.brastro.org,,,,
Battle Point Astronomical Assn.,Bainbridge Island P.O. Box 10914,200 members,,,,
Bay Colony Astronomical Society,Plymouth P.O. Box 1418,23 members,,,,
Bays Mountain Astronomy Club,Kingsport 853 Bays Mountain Park Rd.,50 members,,,,
Beaufort South Carolina Amateur Astronomer,SC Beaufort,http://www.islc.net/~mwlesso/astrono.htm,,,,
Belen Jesuit Prep School Astronomy Club,Miami 500 SW 127th Ave.,305-223-8600,,,,
Berks County Amateur Astronomical Society In,Wyomissing P.O. Box 6150,100 members,,,,
Big Bend Astronomical Society,Alpine HC 65 Box 14,56 members,,,,
Big Sky Astronomy Club,Kalispell P.O. Box 631,25 Members,,,,
Birmingham Astronomical Society,Birmingham 5032 Wendover Dr.,70 members,,,,
Black Canyon Astronomy Club,Montrose P. O. Box 1809,81402-1809,,,,
Black Hills Astronomical Society,Rapid City 4715 Hidden Valley Rd,https://sdbhas.org/,,,,
Black River Astronomical Society,Lorain 1631 Maple Dr.,50 members,,,,
Blue Ridge Astronomy Club,VA Lynchburg,http://www.blueridgeastronomy.org,,,,
Blue Ridge Skywatch Astrophotography Society,Salem 3356 Absalom Smith Road,4 members,,,,
Bluegrass Amateur Astronomy Club,Lexington 1016 Della Dr.,http://www.ms.uky.edu/~bgaac/index.,,,,
Boeing Employees Amateur Astronomers Club -,St. Louis 7320 Chamberlain Ave.,60 members,,,,
Boeing Employees Astronomical Society,Seattle PO Box 3703,120 members,,,,
Boise Astronomical Society,Boise P.O. Box 7002,75 members,,,,
Boothe Astronomical Society,Stratford Boothe Memorial Park at Main St.,20 members,,,,
Boston University Astronomical Society,Boston Dept. of Astronomy at 725 Commonwealth Ave.,60 members,,,,
Bowling Green Sky Gazers,Bowling Green 5024 Ridgeview Dr.,502-842-6008,,,,
Brazosport Astronomical Society,Lake Jackson Nature Center and Planetarium at 400 College Dr.,20 members,,,,
Brevard Astronomical Society Inc.,Cocoa P.O. Box 1084,40 members,,,,
Bridger Valley Astronomical Society,Lyman P.O. Box 456,10 members,,,,
Brigham Young University Astronomical Societ,Provo Dept. of Physics and Astronomy at 263 FB,10 members,,,,
Bristol Astronomy Club,Bristol 4559 Reedy Creek Rd.,25 members,,,,
Bucks-Mont Astronomical Assn.,Chalfont 36 Far-View Rd.,75 members,,,,
Buffalo Astronomical Association,North Java 1610 Welch Road,"100+ members, affiliated with Buffalo Museum of Science",,,,
Cabrillo Astr. Stargazing Society,Aptos Cabrillo College at 6500 Soquel Dr.,24 members,,,,
Caltech SEDS,Pasadena 112-58 Caltech,150 members,,,,
Calumet Astronomical Society,Griffith PO Box 851,150 members,,,,
Campbell County High School Astronomy Club,Gillette 1000 Camel Lane,23 members,,,,
Cannon Valley Astronomical Society,Northfield 417 Winona St.,20 members,,,,
Cape Cod Astronomical Society,Orleans 34 Ridgewood Rd - postal address,65 members,,,,
Cape Fear Astronomical Society,Wilmington 305 N. 21st St.,30 members,,,,
Capital Area Astronomy Club,East Lansing Abrams Planetarium at Michigan State Univ.,60 members,,,,
Carolina Sidewalk Astronomers,Boiling Springs 932 Hanging Rock Road,http://www.geocities.com/spacerocksinc/spacerocksinc.html,,,,
Carolina Skygazers Astronomy Club,Rock Hill Museum of York County at 4621 Mount Gallant Rd.,45 members,,,,
Catawba Valley Astronomy Club,Mooresville 722 Pinewood Circle,55 members,,,,
Cedar Amateur Astronomers,IA Cedar Rapids,100 members,,,,
Cedar Amateur Astronomers Inc.,Swisher 73 Summit Ave. NE,60 members,,,,
Cedar Valley Amateur Astronomers Assn.,Waterloo 503 South St.,319-266-4015,,,,
Celestial Observers,Chatsworth P.O. Box 3524,818-882-6172,,,,
Central Appalachian Astronomy Club,Clarksburg P.O. Box 1862,http://caacwv.com/,,,,
Central Arkansas Astronomical Society,AR Little Rock,40 members,,,,
Central Coast Astronomical Society,San Luis Obispo P.O. Box 1415,90 members,,,,
Central Florida Astronomical Society,Oviedo PO BOX 620907,http://www.cfas.org,,,,
Central Iowa Astronomers Inc.,Indianola 117 W. Hillcrest,4 members,,,,
Central Maine Astronomical Society,Whitefield P.O. Box 10,http://clary.gwi.net/cmas/,,,,
Central Missouri Amateur Astronomers,Columbia Physics Bldg at Univ of Missouri,3rd Sat of each month at 7:30pm,,,,
Central Oregon Astronomical Society,Bend Environmental Center at 16 NW Kansas,45 members,,,,
Central Pennsylvania Observers,State College P.O. Box 947,20 members,,,,
Central Texas Astronomical Society Inc.,Waco 3620 Franklin Ave.,60 members,,,,
Central Texas Star Gazers,Belton 201 Montrose,12 members,,,,
Central Valley Astronomers Inc.,Pinedale P.O. Box 3063,559-264-2645,,,,
Central Wyoming Astronomical Society,Casper 904 N. Poplar St.,24 members,,,,
Centralmo Astronomy Society,Ulm P.O. Box 138,35 members,,,,
Chagrin Valley Astronomical Society,Chagrin Falls P.O. Box 11,40 members,,,,
Champaign-Urbana Astronomical Society,Champaign Parkland College at 2400 West Bradley Ave,75 members,,,,
Chapel Hill Astronomical and Observational S,Chapel Hill PO Box 842,17 members,,,,
Charlotte Amateur Astronomers Club,Matthews 245 Timber Lane,95 members,,,,
Charlottesville Astronomical Society,Charlottesville 3457 Preddy Creek Road,804-975-2888,,,,
Chattahoochee Valley Astronomical Society,Columbus Patterson Planetarium at 2900 Woodruff Farm Rd.,25 members,,,,
Chautauqua and Erie Astronomical Society,Northeast Mercyhurst College at 16 W. Division St.,30 members,,,,
Chesmont Astronomical Society,Limerick 141 Azalea Circle,3rd Sun of each month at 7:00pm,,,,
Chester County Astronomy Society,Thornton 7 Westover Dr.,(610) 268-2616,,,,
Cheyenne Astronomical Society,Cheyenne 3539 Luther Place,85 members,,,,
Chicago Astronomical Society,Chicago P.O. Box 30287,105 members,,,,
China Lake Astronomical Society,Ridgecrest P.O. Box 1783,80 members,,,,
Chippewa Valley Astronomical Society,Eau Claire PO Box 763,53 members,,,,
Chugach Stargazer Society,Anchorage 707 A Street - Suite 201,(907)269-7983,,,,
Cimarron County Star Gazers,Boise City P.O. Box 278,3 members,,,,
Cincinnati Astronomical Society,Cleves 5274 Zion Rd.,460 Members,,,,
City Lights Astronomical Society for Student,Plano 1409 Sequoia Dr.,120 members. Public outreach for students K-12,,,,
Clemson Area Amateur Astronomers,Seneca 1711 Merrimac Circle,35 members,,,,
Cleveland Astronomical Society,Cleveland Museum of Natural History at 1 Wade Oval Dr.,80 members,,,,
Cleveland County Astronomical Society,Boiling Springs Williams Obs. at Gardner-Webb University,704-434-4433,,,,
Clovis Astronomy Club,Clovis 3517 Corlington,9 members,,,,
Coconino Astronomical Society,Flagstaff 691 Kachina Trail,16 members,,,,
College of the Mainland Astronomy Club,Texas City Division of Natural Science at 1200 Amburn Rd.,409-938-1211 ext. 325,,,,
Colorado Astronomy & Space Research Organiza,Clifton P.O. Box 572,http://www.coloradoastronomyandspac,,,,
Colorado Springs Astronomical Society,Colorado Springs PO Box 38121,87 members,,,,
Columbus Astronomical Society,Columbus P.O. Box 163004,220 members,,,,
Corpus Christi Astronomical Society,Corpus Christi 3814 Marion St.,10 members,,,,
Cosmo Astronomical Society,Pine Hills 3415 Silverwood Dr.,http://personal.mco.bellsouth.net/~,,,,
Crossroads Astronomy Club,Nursery P.O. Box 180,22 members,,,,
Crystal River High School Astronomy Club,Crystal River 1205 N. E. 8th Avenue,Novice club that meets monthly during school hours to study and promote interest in astronomy.,,,,
Cumberland Astronomical Society,Gallatin P.O. Box 1733,30 members,,,,
Custer Institute Astronomy Club,Jamesport 448 Herricks Lane,100 members,,,,
Cuyahoga Astronomical Assn.,N. Olmstead PO Box 868,120 members,,,,
Dakota Astronomical Society,Bismarck 757 Munich Dr.,50 members,,,,
Decatur Area Astronomy Club,Decatur 39 Whippoorwill Dr,http://www.decaturastronomy.com,,,,
Delaware Astronomical Society,Wilmington P.O. Box 652,302-655-3230,,,,
Delaware Valley Amateur Astronomers,"Drexel Hill 477 Turner Avenue
","meets in Radnor, PA",,,,
Delmarva Star Gazers,Smyrna 514 Marilyn Rd.,http://www.delmarvastargazers.org,,,,
Delta Astronomical Society,Escanaba 800 S. 15th St.,30 members,,,,
Denver Astronomical Society,Denver Chamberlin Obs. at 2930 E. Warren Ave.,http://www.denverastrosociety.org,,,,
Des Moines Astronomical Society Inc.,Des Moines P.O. Box 111,40 members,,,,
Desert Skygazer Astronomy Club,Pima PO Box 1134,928-485-7017,,,,
Detroit Astronomical Society,Clarkston 9590 Ridgetop Trail,48348,,,,
Dinosaur Hill Astro. Society,Rochester 502 Whims Lane,20 members,,,,
Door Peninsula Astronomical Society,Sturgeon Bay 2041 Michigan Ave.,48 members,,,,
Double Star Observer,Saugus 306 Reynolds Drive,781-231-1558,,,,
Downeast Amateur Astronomers,Pembroke P.O. Box K,20 members,,,,
East Central Wisconsin Astronomers,Pine River N3714 30th Drive,20 members,,,,
East Valley Astronomy Club,Mesa PO Box 2202,235 members,,,,
Eastbay Astronomical Society,Oakland Chabot Observatory at 10000 Skyline Blvd,200 members,,,,
Eastern Michigan Univ. Astronomy Club,Ypsilanti 303 Strong Hall,20 members,,,,
Eastern Missouri Dark Sky Observers,MO Washington,10 members,,,,
Eastside Astronomical Society,Bellevue P.O. Box 7482,135 members,,,,
El Paso Astronomy Club,El Paso 6531 Boeing Drive,http://www.elpasoastronomy.org,,,,
El Valle Astronomy Club,Embudo P.O. Box 126,87531,,,,
Elmira-Corning Astronomical Society,Elmira 5 Cardinal Lane,74 members,,,,
Erie County Mobile Observers Group,Erie 5840 Georgetown Drive,50 members,,,,
Escambia Amateur Astronomers Assn.,Pensacola Dept. of Physical Sciences (Pensacola Jr. College) at 1000 College Bvd.,150 members,,,,
Eugene Astronomical Society,Eugene P.O. Box 7264,http://www.eugeneastro.org,,,,
Evansville Astronomical Society Inc.,Evansville P.O. Box 3474,80 members,,,,
Everett Astronomical Society,Everett PO Box 12746,60 members,,,,
Everglades Astronomical Society,Naples 754 101st Ave. N.,40 members,,,,
Excelsior Telescope Club,Lakewood St. Pancratius Catholic Church at 3519 St. Pancratius Place,30 members,,,,
Fairfield County Astronomical Society,Stamford Stamford Museum Obs. at 39 Scofieldtown Rd.,45 members,,,,
Fargo-Moorhead Astronomical Club,Moorhead M.S.U. Planetarium at Moorhead State University,23 members,,,,
FirstLight Astronomy Club,Temecula 31555 Rancho Vista,http://www.pe.net/~frstlght/,,,,
FIT Astronomy Society,Melborne Physics Dept. (Florida Institute of Technology) at 150 W. University Blvd.,40 members,,,,
Flint River Astronomy Club,Hampton 190 West James Circle,40 members,,,,
Ford Amateur Astronomy Club,Dearborn P.O. Box 7527,160 members,,,,
Forsyth Astronomical Society,Winston-Salem P.O. Box 30128,50 members,,,,
Fort Bend Astronomy Club,Sugar Land 2806 Field Line Dr.,124 members,,,,
Fort Wayne Astronomical Society Inc.,Fort Wayne P.O. Box 11093,102 members,,,,
Fort Worth Astronomical Society,Fort Worth P.O. 471162,150 members,,,,
Fox Valley Astronomical Society,Wasco P.O. Box 38,facebook.com/FVASinfo/,,,,
Fox Valley Sky Watchers,Sleepy Hollow 164 Hilltop Lane,15 members,,,,
Fremont Peak Obs. Assn.,San Juan Bautista P.O. Box 1376,http://www.fpoa.net,,,,
Friends of Galileo Astronomy Club,Longview 175 Scenic View Dr.,http://www.friendsofgalileo.org,,,,
The Cincinnati Observatory Center,Cincinnati 3489 Observatory Place,300 Members,,,,
Galileo Group,Greenville 242 S. Poplar St.,10 members,,,,
Gaston County Skywatchers,Gastonia Schiele Museum at Franklin Blvd,NC,,,,
General Dynamics Astronomy Club,Fort Worth 3400 Bryant-Irvin Rd.,65 members,,,,
Genesee Astronomical Society,Flint Robert Longway Planetarium at 1310 E. Kearsley St.,35 members,,,,
Gloucester Area Astronomy Club,Gloucester 1123 Washington Street,31 members,,,,
Goddard Astronomy Club,Greenbelt Code 440.8/Lockheed at NASA/Goddard Space Flight Center,41 members,,,,
Grand Rapids Amateur Astronomical Assn.,Lowell 3380 Kissing Rock Rd.,200 members,,,,
Grand Traverse Astronomical Society,Traverse City Joseph H. Rogers Obs. (NW Michigan College) at Birmley Rd.,50 members,,,,
Greater Hazleton Area Astronomical Society,Conyngham P.O. Box 1032,70 members,,,,
Greater Ocala Astronomy Club,Ocala 1 Midway Track Place,32 members,,,,
Greenbelt Astronomy Club,Lanham Owens Science Center at 9601 Greenbelt Rd.,http://lheawww.gsfc.nasa.gov/docs/o,,,,
Greensboro Astronomy Club,Greensboro Natural Science Center at 4301 Lawndale Dr.,40 members,,,,
Group 70 Large Amateur Telescope Project,San Leandro 1689 Abram Ct.,http://www.hpl.hp.com/astro/group70,,,,
Halifax Skywatchers,Nathalie P.O. Box 22,12 members,,,,
Halls Valley Astronomical Group,San Jose 1127 Sierra Ave.,37 members,,,,
Harford County Astronomical Society,Joppa 608 Falconbridge Drive,60 members,,,,
Hawaiian Astronomical Society,Honolulu P.O. Box 17671,http://www.hawastsoc.org/,,,,
Heartland Astronomical Research Team,Topeka P.O. Box 3938,5 members,,,,
Hercules Stargazers,Richmond 6102 Sacramento Ave.,15 members,,,,
High Desert Astronomical Society,Apple Valley 20702 Thunderbird Rd.,45 members,,,,
High Desert Astronomy Club,Kingman 2770 Broken Arrow St.,30 members,,,,
High Plains Astronomy Club,Elbert 13265 Bozeman Trail,8 members,,,,
Hildene Astronomy Club,Manchester PO Box 377,"Telescope: Warner & Swasey, 1909; Objective Lens: 6"" Brashear achromatic; 80""focal ratio",,,,
Holmen Astronomy Club,WI Holmen,6 Members,,,,
Houston Astronomical Society,Houston P.O. Box 20332,300 members,,,,
Howard Astronomical League,Columbia P.O. Box 641,50 members,,,,
Huachuca Astronomy Club of Southeastern Ariz,Sierra Vista 2310 E. Suma Drive,50 members,,,,
Idaho Falls Astronomical Society,Idaho Falls 1710 Claremont Lane,18 members,,,,
Idyll-Gazers Astronomy Club,Idyllwild P.O. Box 1245,50 members,,,,
Indian River Astronomical Society,Vero Beach 6055 College Lane,32966,,,,
Indiana Astronomical Society Inc.,Mooresville 3820 E. Wilson Drive,180 members,,,,
International Assoc for Astronomical Studies,Strasburg 1155 Yellow Jacket Rd,facebook.com/IAASorg/,,,,
Iowa City Astronomy Club,Iowa City P.O. Box 325,20 members,,,,
Ithaca Amateur Astronomers,NY Ithaca,http://www.southerncayuga.org/Planetarium/Astronomyhome.htm,,,,
Jackson Astronomical Assn.,Clinton P.O. Box 766,40 members,,,,
Jackson Hole Astronomy Club,Moran Box 123,45 members,,,,
Johnson County Middle School Astronomy Club,Paintsville 251 N. Mayo Trail,(606)789-4133,,,,
Johnson Space Center Astronomical Society,Houston 16335 Brookford Drive,http://www.ghg.net/cbr/jscas/,,,,
JSC Astronomical Society,Baycliff 4802 Redfish Reef,80 members,,,,
Junior Astronomy Club of St. Tammany,Slidell 113 N. Randall Drive,504-646-0285,,,,
Kalamazoo Astronomical Society,Kalamazoo 600 West Vine - Suite 400,175 members,,,,
Kanawha Valley Astronomical Society (KVAS),Charleston Breezy Point Observatory,http://www.kvas.org,,,,
Kanawha Valley Astronomical Society Inc.,Cross Lanes 5292 Questa Dr.,35 members,,,,
Kankakee Area Stargazers,Bourbonnais Olivet University,60914,,,,
Kansas Astronomical Observers,Wichita P.O. Box 49013,30 members,,,,
Kansas Astronomy Village,Blue Springs 304 E. Agler Dr,816-229-2394,,,,
Kaua'i Educational Assn. for Science and Ast,Waimea P.O. Box 161,808-245-8250,,,,
Keene Amateur Astronomers Inc.,Alstead RR1 Box 256-A,25 members,,,,
Kennedy Space Center Amateur Astronomers,Titusville 7523 Windover Way,http://www.4saleusa.net/kscaa,,,,
Kern Astronomical Society Inc.,Bakersfield 3308 Dartmouth St.,60 members,,,,
Keystone Oaks High School Astronomy Club,Pittsburgh 1000 Kelton Ave.,412-571-6042 412-571-6048,,,,
Kids Astro Camp,South Bend 3121 Weist Lane,Astronomy camps for kids 10-12,,,,
Kingsville Astronomical Society,Kingsville P.O. Box 5918,http://www.geocities.com/kingsville,,,,
Kiski Astronomers,Cabot 112 Old Pike Lane,25 members,,,,
Knoxville Observers Astronomy Club,Knoxville 1708 Gillespie Av,http://www.knoxvilleobservers.org,,,,
Kokomo Astronomy Club,Kokomo Dept. of Physics at Indiana University,15 members,,,,
Kopernik Astronomical Society,Vestal 698 Underwood Rd.,100 members,,,,
L5 Society of Philadelphia,Lansdale 1825 Flintlock Circle,215-855-7130,,,,
Lackawanna Astronomical Society,Clarks Summit 1112 Fairview Rd.,110 members,,,,
LaCrosse Area Astronomical Society,LaCrosse Physics Dept. at University of Wisconsin,http://www.uwlax.edu/planetarium/laas.html,,,,
Lake County Astronomical Society,Ingleside Volo Bog State Natural Area at 28478 W. Brandenburg Road,100 members,,,,
Lake Erie West Astronomical Society,Toledo 2805 118th St.,419-726-0385 eve 734-242-,,,,
Lake Tahoe Astronomers,S. Lake Tahoe P.O. Box 14271,6 members,,,,
Las Vegas Astronomical Society,Las Vegas 123 Las Vegas,1st Thu of each month at College of Southern Nevada,,,,
Lea County Astronomical Society,Hobbs New Mexico Junior College at 5317 Lovington Highway,505-392-5305 x 323,,,,
Lehigh Valley Amateur Astronomical Society,Allentown Joe Grady Planetarium at 3559 E. Rock Rd.,610-398-7295,,,,
Lemon Bay High School Astronomy Club,Englewood 2201 Placida Rd.,20 members,,,,
Leonardo's Star Quest Astronomy Club,Enid 200 East Maple St.,http://www.leonardos.org,,,,
Lima Astronomical Society,Lima P.O. Box 201,See event schedule for Schoonover Observatory at website above.,,,,
Lincoln County Stargazers,Troy 341 Monroe St.,25 members,,,,
Little Thompson Observatory,Berthoud 850 Spartan Avenue,http://www.starkids.org,,,,
Local Group of Deep Sky Observers,Bradenton 2311 23rd Ave. W.,100 members,,,,
Local Group of Santa Clarita Valley,Santa Clarita P.O. Box 221296,http://www.lgsvc.org,,,,
Lockport Astronomy Assn.,Lockport 7053 Northview Dr.,716-433-4706,,,,
Long Island Observers Assn.,Huntington 3 Merriwood Ct.,11743-3009,,,,
Longmont Astronomical Society,Longmont P.O. Box 8029,40 members,,,,
Los Angeles Astronomical Society,Los Angeles 2800 E. Observatory Rd.,430 members,,,,
Los Angeles Sidewalk Astronomers,Hollywood 1946 Vedanta Place,additional website www.sidewalkastronomers.com,,,,
Los Angeles Valley College Astronomy Club,Van Nuys 5800 Fulton Ave.,25 members,,,,
Louisville Astronomical Society,Louisville P.O. Box 701043,114 members,,,,
Lowcountry Stargazers,Summerville 5246 Braddock Ave,http://www.lowcountrystargazers.org,,,,
MaconState College Astronomy Club,Macon 100 College Station Rd.,912-471-2827,,,,
Madison Astronomical Society Inc.,Madison 1605 South Park Street,100 members,,,,
Magic Valley Astronomical Society,Jerome 706 E. 200 South,19 members,,,,
Mahoning Valley Astronomical Society,Newton Falls 1076 State Rte. 534,67 members,,,,
Marquette Astronomical Society,Marquette P.O. Box 761,50 members,,,,
MARS Astronomy Club,Tampa 821 Settlers Rd,25 members,,,,
Martha's Vineyard Astronomy Club,Chilmark P.O. Box 141,16 members,,,,
Mattatuck Astronomical Society,Waterbury Naugatuck Valley Community Technical College,60 members,,,,
Maui Astronomy Club,Maui P.O. Box 12501,10 members,,,,
McDonnell-Douglas Amateur Astronomers,Florissant 3491 Heather Trail,35 members,,,,
Medina County Astronomical Society,Medina 4532 Ledgewood Drive,http://users.zoominternet.net/~matt,,,,
Memphis Astronomical Society,Memphis 4169 Rainey Woods Rd.,60 members,,,,
Merced Society for Telescope & Astronomy Rec,Merced 928 W. 9th St.,25 members,,,,
Meteor Group Hawaii,Ocean View P.O. Box 6692,15 members,,,,
Miami Valley Astronomical Society,Dayton Dayton Museum of Natural History at 2600 DeWeese Parkway,100 members,,,,
Michiana Astronomical Society,South Bend P.O. Box 262,20 members,,,,
Middle Georgia Astronomical Society,Macon Museum of Arts and Sciences,25 members,,,,
Middle Tennessee Astronomical Society,Smyrna 306 Ella Street,http://mtas.tnsky.com,,,,
Mid-Hudson Astronomical Association,Poughkeepsie c/o Rick Versace / PO Box 3640,60 members,,,,
Midlands Astronomy Club,Columbia P.O. Box 2527,50 members,,,,
Midwestern Astronomers,Fort Wright 1720 Monticello Dr.,18 members,,,,
Millstream Astronomy Club,Findlay 2019 Sterling Ct.,40 members,,,,
Milwaukee Astronomical Society,New Berlin 18850 W Observatory Rd,80 members,,,,
Minnesota Astronomical Society,Minneapolis P.O. Box 583011,350 members,,,,
Mission Valley Astronomy Club,Ravalli P.O. Box 630064,http://www.geocities.com/mvac_mt/index.html,,,,
Mobile Astronomical Society,Mobile 1207 Selma St.,30 members,,,,
Mohawk Valley Astronomical Society,NY Clinton,http://www.mvas-ny.org/,,,,
Morris Museum Astronomical Society,Morristown 6 Normand Heights Rd.,40 members,,,,
Mount Diablo Astronomical Society,Walnut Creek PO Box 4889,165 members. Monthly meeting.,,,,
Mount Tam Observers,San Rafael 89 Dominican Dr.,415-454-4715,,,,
