Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Christoffel Waelkens,"['Katholieke University Leuven', 'Institute of Astronomy', 'Celestijnenlaan 200 D - box 2401', '3001 Leuven', 'Belgium']"
Antonio Mario Magalhaes,"['Universidade de São Paulo', 'Instituto de Astronomia, Geofisica e Ciencias Atmosfericas', 'Rua do Matão 1226', 'Cidade Universitaria', 'São Paulo 05508-090', 'São Paulo (SP)', 'Brazil']"
Roberto Vieira Martins,"['Observatorio Nacional', 'R. Gal. Jose Cristino 77', 'São Cristóvão', 'Rio de Janeiro, RJ 20921-400', 'Rio de Janeiro (RJ)', 'Brazil']"
Nelson Jorge Schuch,"['UFSM/ctro Tecnologia', 'Observatorio', 'Cidade Universitária', 'Porto Alegre, RS 91501-900', 'Rio Grande do Sul (RS)', 'Brazil']"
Ivo C. Busko,"['Space Telescope Science Inst', 'SSC', '3700 San Martin Dr', 'Baltimore MD 21218-2410', 'Maryland (MD)', 'United States']"
Luiz Paulo Ribeiro Vaz,"['Universidade Federal de Minas Gerais/UFMG', 'Depto de Física - ICEX', 'CP 702', 'Belo Horizonte, MG 30123-970', 'Minas Gerais (MG)', 'Brazil']"
Joao E. Steiner,"['INPE', 'Div de Astrofísica', 'Av dos Astronautas 1758', 'Jd. Granja', 'S José dos Campos, SP 12227-010', 'São Paulo (SP)', 'Brazil']"
Horacio A. Dottori,"['UFRGS', 'Inst de Física', 'Campus do Vale', 'CP 15051', 'Porto Alegre, RS 91501-970', 'Rio Grande do Sul (RS)', 'Brazil']"
S. O. Kepler,"['UFRGS', 'Inst de Física', 'Campus do Vale', 'CP 15051', 'Porto Alegre, RS 91501-970', 'Rio Grande do Sul (RS)', 'Brazil']"
Jorge Ricardo Ducati,"['Universidade Federal do Rio Grande do Sul', 'Instituto de Física/Depto de Astronomia', 'Avenida Bento Goncalves 9500', 'Bairro Agronomia', 'Porto Alegre, RS 91501-970', 'Rio Grande do Sul (RS)', 'Brazil']"
Abraham Chian-Long Chian,"['National Institute for Space Research (INPE)', 'Division of Space Geophysics (DGE)', 'Av dos Astronautas 1758', 'Jd. Granja', 'Sao José dos Campos 12227-010', 'São Paulo (SP)', 'Brazil']"
Marshall Lester McCall,"['York University', 'Department of Physics and Astronomy', '4700 Keele St', 'Toronto, Ontario M3J 1P3', 'Ontario (ON)', 'Canada']"
John W. Moffat,"['University of Toronto', 'Dept Physics', '60 St George St', 'Toronto ON M5S 1A7', 'Ontario (ON)', 'Canada']"
Daniel Nadeau,"['Université de Montréal', 'Dept de Physique', 'CP 6128 Succ Centre-ville', 'Montréal QC H3C 3J7', 'Quebec (QC)', 'Canada']"
Peter B. Stetson,"['National Research Council of Canada-NRC', 'Herzberg Inst of Astrophysics-HIA', '5071 West Saanich Rd', 'Victoria BC V9E 2E7', 'British Columbia (BC)', 'Canada']"
Howard K.C. Yee,"['University of Toronto', 'Dept.of Astronomy andAstrophysics', '50 St George St', 'Toronto ON M5S 3H4', 'Ontario (ON)', 'Canada']"
Leopoldo Celis,['Chile ']
Edgardo Costa,"['Universidad de Chile', 'Dept Astronomía', 'Casilla 36-D', 'Santiago', 'Chile']"
Guido Garay,"['Universidad de Chile', 'Departamento di Astronomía', 'Casilla 36-D', 'Santiago', 'Chile']"
Mario Humberto Pedreros,"['Universidad de Tarapacá', 'Departamento de Fisica', 'Casilla 7 D', 'Arica', 'Chile']"
Mark M. Phillips,"['Carnegie Institution of Washington', 'Las Campanas Observatory', 'Casilla 601', 'La Serena', 'Chile']"
Francisco Reyes,"['University of Florida', 'Astronomy Dept', 'Box 112055', '211 Space Sci Res Bdg', 'Gainesville FL 32611-2055', 'Florida (FL)', 'United States']"
Monica Rubio,"['Universidad de Chile', 'Departamento de  Astronomía', 'Casilla 36-D', 'Camino El Observatorio 1515', '7591245 Santiago', 'Chile']"
Herbert Wroblewski,['Chile ']
Dongrong JIANG,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Shiguang LI,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Jia-Ji WANG,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Wenyao ZHU,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Chugang FENG,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Fumin YANG,"['China, Nanjing ']"
Zhengming WANG,"['Chinese Academy of Sciences', 'National Time Service Center', 'Box 18', 'Lintong 710600', 'Shaanxi', 'China, Nanjing']"
Shouping XIANG,"['University of Science/Technology', 'Centre for Astrophysics', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Yaoquan CHU,"['University of Science/Technology', 'Centre for Astrophysics', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Xingfeng ZHU,"['University of Science/Technology', 'Centre for Astrophysics', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Binxun YE,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
Buxi GAO,"['Inst Geodesy-Geophysics', 'Xu Dong Lu', 'Wuchang 430077', 'Hubei', 'China, Nanjing']"
Xingyuan MA,"['China, Nanjing ']"
Youyuan ZHOU,"['University of Science/Technology', 'Centre for Astrophysics', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Ren-Dong NAN,"['China, Nanjing ']"
Zongwei LI,"['Beijing Normal University', 'Astronomy Dept', 'Xin Jie Kou Wai Str 19', 'Haidian District', 'Beijing 100875', 'Beijing', 'China, Nanjing']"
Yongzhen LIU,"['University of Science/Technology', 'Graduate School', 'Box 3908', 'Beijing 100039', 'Beijing', 'China, Nanjing']"
YuQian MA,"['Chinese Academy of Sciences', 'Inst High Energy Physics', 'PO Box 918', 'Beijing 100039', 'Beijing', 'China, Nanjing']"
Mingzhi Wei,"['University of California Santa Cruz', 'UCO/Lick Observatory', '1156 High St', 'c/o Natural Sciences II', 'Santa Cruz CA 95064', 'California (CA)', 'United States']"
Guoxiang AI,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Tipei LI,"['Chinese Academy of Sciences', 'Inst High Energy Physics', 'PO Box 918', 'Beijing 100039', 'Beijing', 'China, Nanjing']"
Wenjun HAN,"['China, Nanjing ']"
Yulin BIAN,"['Shanghai Science/Education', 'Publishing House', '393 Guan Shen Yuan Rd', 'Shanghai 20023', 'Shanghai', 'China, Nanjing']"
Jingxiu WANG,"['Chinese Academy of Sciences/CAS', 'National Astronomical Observatories', 'A20 Datun Rd', 'Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Xinji WU,"['Peking University', 'Dept Astronomy-School of Physics', 'YiHeYuan Lu 5', 'Haidian District', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Guojun QIAO,"['Peking University', 'Dept Astronomy-School of Physics', 'YiHeYuan Lu 5', 'Haidian District', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Peisheng CHEN,"['Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Huisong TAN,"['Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Kaixian SHEN,"['Chinese Academy of Sciences', 'National Time Service Center', 'Box 18', 'Lintong 710600', 'Shaanxi', 'China, Nanjing']"
Liande PAN,"['Chinese Academy of Sciences', 'National Time Service Center', 'Box 18', 'Lintong 710600', 'Shaanxi', 'China, Nanjing']"
Zhigang LI,"['Chinese Academy of Sciences', 'National Time Service Center', 'Box 18', 'Lintong 710600', 'Shaanxi', 'China, Nanjing']"
Fuzhen CHENG,"['University of Science/Technology', 'Centre for Astrophysics', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Yuhua TANG,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Zhenru WANG,"['China, Nanjing ']"
Qiuhe PENG,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Aoao XU,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Yifei XIA,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Naiyuan XIAO,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Tianyi HUANG,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Yisui SUN,"['Nanjing University', 'Astronomy Dept', '22 Hankou Rd', 'Nanjing 210093', 'Jiangsu', 'China, Nanjing']"
Jia-Qing ZHENG,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Chunlin LU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Lianda WU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
BenKui LU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Sheng-Pan ZHANG,"['NEROC', 'Haystack Observatory', 'Off Route 40', 'Westford MA 01886', 'Massachusetts (MA)', 'United States']"
Hongnan ZHOU,"['Nanjing Normal University', 'Dept Physics', 'Nanjing 210097', 'Jiangsu', 'China, Nanjing']"
Kurt S.J. Anderson,"['NMSU', 'Astronomy Dept', 'MSC 4500 Box 30001', 'Las Cruces NM 88003', 'New Mexico (NM)', 'United States']"
Barbara J. Anthony-Twarog,"['University of Kansas', 'Physics-Astronomy Dept', 'Rm 1082', '1251 Wescoe Hall Dr', 'Lawrence KS 66045', 'Kansas (KS)', 'United States']"
Sushil K. Atreya,"['University of Michigan', 'Climate and Space Sciences (CLaSP)', 'Space Research Bldg', '2455 Hayward St', 'Ann Arbor MI 48109-2143', 'Michigan (MI)', 'United States']"
Thomas R. Ayres,"['University of Colorado', 'CASA (Center for Astrophysics and Space Astronomy)', '389 UCB', 'Boulder CO 80309-0389', 'Colorado (CO)', 'United States']"
Scott R. Baird,"['Benedictine College', 'Physics-Astronomy Dept', '1020 W 2nd Str', 'Atchison KS 66002-1499', 'Kansas (KS)', 'United States']"
Gibor B. Basri,"['University of California Berkeley', 'Astronomy Dept', 'MC 3411', '501 Campbell Hall', 'Berkeley CA 94720-3411', 'California (CA)', 'United States']"
Stephen A. Becker,"['LANL', 'MS B220 X2', 'Box 1663', 'Los Alamos NM 87545-2345', 'New Mexico (NM)', 'United States']"
Mark Birkinshaw,"['University of Bristol', 'HH Wills Physics Laboratory', 'Tyndall Avenue', 'Bristol BS8 1TL', 'United Kingdom']"
Joel N. Bregman,"['University of Michigan', 'Astronomy Dept', '830 Dennison Bldg', '501 E University Ave', 'Ann Arbor MI 48109-1042', 'Michigan (MI)', 'United States']"
Kwing Lam CHAN,"['Hong Kong University of Science and Technology', 'Department of Mathematics', 'Clear Water Bay', 'Kowloon', 'Hong Kong', 'China, Nanjing']"
You-Hua Chu,"['Academia Sinica', 'Institute of Astronomy and Asrophysics', '11F of Astronomy-Mathematics Building', 'No.1, Sec. 4, Roosevelt Rd.', 'Taipei 10617', '-', 'China, Taipei']"
John T. Clarke,"['Boston University', 'Astronomy Dept', '725 Commonwealth Ave', 'Boston MA 02215', 'Massachusetts (MA)', 'United States']"
Edward W. Cliver,"['AFRL / RVBXS', 'P.O. Box 46', 'Sunspot 88349', 'New Mexico (NM)', 'United States']"
Leo P. Connolly,"['1670 Camden Court', 'Redlands 92374-4754', 'California (CA)', 'United States']"
France A.D. Cordova,"['UC Riverside', 'Chancellors Office', '4148 Hinderaker Hall', 'Riverside CA 92521', 'California (CA)', 'United States']"
William D. Cotton Jr,"['NRAO', '520 Edgemont Rd', 'Charlottesville VA 22903-2475', 'Virginia (VA)', 'United States']"
Avishai Dekel,"['The Hebrew University Jerusalem', 'Racah Inst of Physics', 'Jerusalem 91904', 'Israel']"
Imke de Pater,"['University of California Berkeley', 'Astronomy Dept', '#3411', '601 Campbell Hall', 'Berkeley CA 94720-3411', 'California (CA)', 'United States']"
Stanley F. Dermott,"['University of Florida', 'Astronomy Dept', '4451 SW 85 Way', 'Gainesville FL 32608', 'Florida (FL)', 'United States']"
Steven J. Dick,"['21406 Clearfork Ct', 'Ashburn VA 20147', 'Virginia (VA)', 'United States']"
Jean O'Brien Dickey,['United States ']
John M. Dickey,"['University of Tasmania', 'School of Maths & Physics', 'Private Bag 37', 'Hobart TAS 7001', 'Tasmania (TAS)', 'Australia']"
Harriet L. Dinerstein,"['University of Texas Austin', 'Department of Astronomy', '2515 Speedway, Stop C1400', 'Austin TX 78712-1205', 'Texas (TX)', 'United States']"
Bruce T. Draine,"['Princeton University', 'Observatory', 'Peyton Hall', 'Ivy Ln', 'Princeton NJ 08544-1001', 'New Jersey (NJ)', 'United States']"
Stephen A. Drake,"['NASA/GSFC', 'Code 662', 'Greenbelt MD 20771', 'Maryland (MD)', 'United States']"
John W. Dreher,"['SETI Inst.', '1830 CATALINA AVE', 'Berkeley 94707', 'California (CA)', 'United States']"
Alan Dressler,"['Carnegie Institution of Washington', 'Observatories', '813 Santa Barbara Str', 'Pasadena CA 91101-1292', 'California (CA)', 'United States']"
Gordon A. Emslie,"['University of Alabama Huntsville', 'Physics Dept', 'Huntsville AL 35899', 'Alabama (AL)', 'United States']"
Giuseppina Fabbiano,"['Harvard Smithsonian CfA', 'HCO/SAO', 'Cambridge MA 02138-1516', 'Massachusetts (MA)', 'United States']"
Daniel G. Fabricant,"['Harvard Smithsonian CfA', 'HCO/SAO', 'Cambridge MA 02138-1516', 'Massachusetts (MA)', 'United States']"
Jacqueline Fischer,"['Naval Research Laboratory', 'Code 7213', '4555 Overlook Ave SW', 'Washington DC 20375-5351', 'D.C.', 'United States']"
Richard G. French,"['Wellesley College', 'Astronomy Dept-Whitin Observatory', '106 Central St', 'Wellesley MA 02481', 'Massachusetts (MA)', 'United States']"
Dale E. Gary,"['NJIT', 'Physics Dept', '323 King Blvd', 'Newark NY 07102-1982', 'New York (NY)', 'United States']"
Barry J. Geldzahler,"['NASA Headquarters', 'Code SE', '300 E St SW', 'Washington DC 20546', 'D.C.', 'United States']"
Mark S. Giampapa,"['NOAO', 'NSO', '950 North Cherry Ave', 'Tucson AZ 85719-4933', 'Arizona (AZ)', 'United States']"
James Gibson,"['6838 Greeley St', 'Tujunga CA 91042-2809', 'California (CA)', 'United States']"
Gary A. Glatzmaier,"['University of California Santa Cruz', 'Earth Sciences Dept', '1156 High St', 'Earth & Marine Sc. Bldg', 'Santa Cruz CA 95064', 'California (CA)', 'United States']"
Philip R. Goode,"['CALTECH', 'BBSO', '40386 Northshore Ln', 'Big Bear City CA 92314-9672', 'California (CA)', 'United States']"
Jonathan Carey Gradie,"['Science & Technology Int', '4275 Executive Square', 'Suite 825', 'La Jolla CA 92122', 'California (CA)', 'United States']"
Mona J. Hagyard,"['NASA', 'Space Science Dept', 'Code SD 50', '111 Woodland Ave', 'Lexington KY 40502', 'Kentucky (KY)', 'United States']"
Timothy M. Heckman,"['Johns Hopkins University', 'Physics-Astronomy Dept CAS', 'Charles and 34th Str', 'Baltimore MD 21218-2686', 'Maryland (MD)', 'United States']"
Jay B. Holberg,"['University of Arizona', 'Lunar & Planetary Lab', 'Kuiper Space Sci, Bldg 92', '1629 E Univ Blvd', 'Tucson AZ 85721-0092', 'Arizona (AZ)', 'United States']"
Gordon D. Holman,"['NASA/GSFC', 'Code 671', 'Greenbelt MD 20771', 'Maryland (MD)', 'United States']"
Stephen S. Holt,"['Franklin W. Olin College of Engineering', 'Olin Way', 'Needham MA 02492-1245', 'Massachusetts (MA)', 'United States']"
Bruce J. Hrivnak,"['Valparaiso University', 'Dept of Physics and Astronomy', '1610 Campus Drive', 'Valparaiso IN 46383', 'Indiana (IN)', 'United States']"
Deidre Ann Hunter,"['Lowell Observatory', '1400 W Mars Hill Rd', 'Flagstaff AZ 86001', 'Arizona (AZ)', 'United States']"
Piet Hut,"['Institute for Advanced Study', 'IAS', 'School of Natural Sciences', 'Einstein Dr', 'Princeton NJ 08540', 'New Jersey (NJ)', 'United States']"
George H. Jacoby,"['Lowell Observatory', '1400 W Mars Hill Road', 'Flagstaff 86001', 'Arizona (AZ)', 'United States']"
Daniel T. Jaffe,"['University of Texas Austin', 'Astronomy Dept', '1 University Station C1400', 'Austin TX 78712', 'Texas (TX)', 'United States']"
Dayton L. Jones,"['P. O. Box 1837', 'Lyons CO 80540-1837', 'Colorado (CO)', 'United States']"
Ronald H. Kaitchuck,"['Ball State University', 'Physics-Astronomy Dept', 'Muncie IN 47306', 'Indiana (IN)', 'United States']"
Judith T. Karpen,"['Naval Research Laboratory', 'Code 7675 K', '4555 Overlook Ave SW', 'Washington DC 20375-5352', 'D.C.', 'United States']"
William C. Keel,"['University of Alabama Tuscaloosa', 'Physics-Astronomy Dept', 'Box 870324', '206 Gallalee Hall', 'Tuscaloosa AL 35487-0324', 'Alabama (AL)', 'United States']"
David G. Koch,['United States ']
Adair P. Lane,['United States ']
Felix J. Lockman,"['Green Bank Observatory', 'PO Box 2', 'Green Bank WV 24944', 'West Virginia (WV)', 'United States']"
Phyllis M. Lugger,"['University of Indiana', 'Astronomy Dept', 'Swain W 319 / 727 E 3rd St', 'Bloomington IN 47405-7105', 'Indiana (IN)', 'United States']"
Gordon M. Macalpine,"['University Trinity', 'Physics Dept', '715 Stadium Dr', 'San Antonio TX 78212', 'Texas (TX)', 'United States']"
Laurence A. Marschall,"['Gettysburg College', 'Physics Dept', '300 North Washington Str', 'Gettysburg PA 17325', 'Pennsylvania (PA)', 'United States']"
Glenn M. Mason,"['University of Maryland', 'Physics Dept', 'College Park MD 20742-4111', 'Maryland (MD)', 'United States']"
Philip L. Massey,"['Lowell Observatory', '1400 W Mars Hill Rd', 'Flagstaff AZ 86001', 'Arizona (AZ)', 'United States']"
Dan McCammon,"['University of Winsconsin Madison', 'Physics Dept', '1150 University Ave', 'Madison WI 53706', 'Wisconsin (WI)', 'United States']"
David L. Meier,"['CALTECH', 'JPL', 'MS 138 308', '4800 Oak Grove Dr', 'Pasadena CA 91109', 'California (CA)', 'United States']"
Gary J. Melnick,"['Harvard Smithsonian CfA', 'HCO/SAO', 'MS 66', '60 Garden Str', 'Cambridge MA 02138-1516', 'Massachusetts (MA)', 'United States']"
David G. Monet,"['US Naval Observatory', 'Flagstaff Statio', '10391 W. Naval Observatory Road', 'Flagstaff Station', 'Flagstaff AZ 86005', 'Arizona (AZ)', 'United States']"
Michael Jon Mumma,"['NASA/GSFC', 'Solar System Exploration Division', 'Code 690', 'Greenbelt MD 20771', 'Maryland (MD)', 'United States']"
Joseph A. Nuth,"['NASA/GSFC', 'Solar System Exploration Division', 'Code 690', 'Greenbelt MD 20771', 'Maryland (MD)', 'United States']"
Timothy J. Pearson,"['CALTECH', 'Dept of Astronomy', 'MS 249-17', '1200 E California Blvd', 'Pasadena CA 91125', 'California (CA)', 'United States']"
Larry David Petro,"['Space Telescope Science Institute', '2850 Alendale Place NW', 'Washington 20008', 'D.C.', 'United States']"
Sheo S. Prasad,"['Creative Research Enterprises', 'Box 174', '6354 Camino del Lago', 'Pleasanton CA 94566', 'California (CA)', 'United States']"
Steven H. Pravdo,"['CALTECH', 'JPL', 'MS 306 438', '4800 Oak Grove Dr', 'Pasadena CA 91109', 'California (CA)', 'United States']"
Harold J. Reitsema,"['Reitsema Enterprises, Inc.', '1584 Waukazoo Drive', 'Holland 49424', 'Michigan (MI)', 'United States']"
Stephen P. Reynolds,"['North Carolina State University', 'Physics Dept', 'Box 8202', 'Raleigh NC 27695-8205', 'North Carolina (NC)', 'United States']"
Annelia I. Sargent,"['CALTECH', 'Dept of Astronomy', 'MS 105 24', '1201 E California Blvd', 'Pasadena CA 91125', 'California (CA)', 'United States']"
F. Peter Schloerb,"['University of Massachusetts', 'Department of Astronomy', 'Lederle Graduate Research Tower B 619E', '710 North Pleasant Street', 'Amherst MA 01003-9305', 'Massachusetts (MA)', 'United States']"
Matthew H. Schneps,"['Laboratory for Visual Learning', '326 Walden St', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
Frederick D. Seward,"['Harvard Smithsonian CfA', 'HCO/SAO', 'Cambridge MA 02138-1516', 'Massachusetts (MA)', 'United States']"
Michael L. Sitko,"['University of Cincinnati', 'Physics Dept', 'Geo Phys 436 Box 210011', 'Cincinnati OH 45221-0011', 'Ohio (OH)', 'United States']"
Chris Sneden,"['University of Texas Austin', 'Astronomy Dept', '1 University Station C1400', 'Austin TX 78712', 'Texas (TX)', 'United States']"
David R. Soderblom,"['Space Telescope Science Institute', '3700 San Martin Dr', 'Baltimore MD 21218-2410', 'Maryland (MD)', 'United States']"
Robert V. Stachnik,['United States ']
Mark T. Stier,"['United Technologies Aerospace Systems', '100 Wooster Heights Rd', 'Danbury CT 06810-7589', 'Connecticut (CT)', 'United States']"
Daniel R. Stinebring,"['Oberlin College', 'Physics Dept', '110 N Professor Str', 'Oberlin OH 44074-1088', 'Ohio (OH)', 'United States']"
Curtis J. Struck,"['Iowa State University', 'Physics-Astronomy Dept', '12 Physics Building', 'Ames IA 50011-3160', 'Iowa (IA)', 'United States']"
Nicholas B. Suntzeff,"['Texas A&M University', 'Department of Physics and Astronomy', 'TAMU-4242', 'College Station 77845-4242', 'Texas (TX)', 'United States']"
John R. Thorstensen,"['Dartmouth College', 'Physics-Astronomy Dept', '6127 Wilder Lab', 'Hanover NH 03755', 'New Hampshire (NH)', 'United States']"
Bruce A. Twarog,"['University of Kansas', 'Physics-Astronomy Dept', '1082 Malott Hall', '1251 Wescoe Hall Dr', 'Lawrence KS 66045-7582', 'Kansas (KS)', 'United States']"
Ortwin Gerhard,"['Max-Planck-Institut für Extraterrestrische Physik', 'Postfach 1312', 'Giessenbachstr.', '85741 Garching', 'Germany']"
Detlef Groote,"['Universität Hamburg', 'Hamburger Sternwarte', 'Gojenbergsweg 112', '21029 Hamburg', 'Germany']"
David A. Graham,"['Universität Bonn', 'AIfA/Sternwarte', 'Auf dem Huegel 71', '53121 Bonn', 'Germany']"
Rolf Guesten,"['Max-Planck-Institut fuer Radioastronomie', 'Submm-Technology', 'Auf dem Huegel 69', '53121 Bonn', 'Germany']"
Wolf-Rainer Hamann,"['Potsdam Universität', 'Institute for Physics & Astronomy', 'Haus 28, Golm', '14476 Potsdam', 'Germany']"
Reiner Hammer,"['Kiepenheuer Inst f Sonnenphysik', 'Schoneckstr 6', '79104 Freiburg Breisgau', 'Germany']"
Ulrich Heber,"['Dr. Remeis Sternwarte Bamberg', 'Sternwartstr. 7', '96049 Bamberg', 'Germany']"
Christian Henkel,"['MPI für Radioastronomie', 'Auf dem Huegel 69', '53121 Bonn', 'Germany']"
Gerhard Hensler,"['University of Vienna', 'Institute of Astrophysics', 'Tuerkenschanzstr. 17', '1180 Vienna', 'Austria']"
Peter Michael Kalberla,"['Universität Bonn', 'AIfA/Radioastronomy', 'Auf dem Huegel 71', '53121 Bonn', 'Germany']"
Ernst Kreysa,"['Max-Planck-Institut für Radioastronomie', 'Auf dem Hügel 69', 'D-53121 Bonn', 'Germany']"
Ewald Mueller,"['Max-Planck-Institut für Astrophysik', 'Karl-Schwarzschild-Str 1', '85748 Garching', 'Germany']"
Hans-peter Röser,['Germany ']
Hanns Ruder,['Germany ']
R. Andreas Schulz,"['Universität zu Köln', 'Mathematisch-Naturwissenschaftliche Fakultät', 'Institut für Physikdidaktik', 'Gronewaldstraße 2', '50931 Cologne', 'Germany']"
Stephen C. Unwin,"['JPL/Caltech', 'MS 301-170S', '4800 Oak Grove Dr', 'Pasadena CA 91109', 'California (CA)', 'United States']"
Jacqueline H. van Gorkom,"['Columbia University', 'Columbia Astrophysics Laboratory', '550 W 120th St', 'New York NY 10027', 'New York (NY)', 'United States']"
Ethan T. Vishniac,"['Johns Hopkins University', 'Dept. of Physics and Astronomy', '3400 N. Charles St.', 'Baltimore 21218', 'Maryland (MD)', 'United States']"
Frederick M. Walter,"['Stony Brook University', 'Physics-Astronomy Dept', 'Stony Brook NY 11794-3800', 'New York (NY)', 'United States']"
Joel Mark Weisberg,"['Carleton College', 'Physics-Astronomy Dept', 'N College No 1', 'Northfield MN 55057', 'Minnesota (MN)', 'United States']"
Richard Edward White,"['Smith College', 'Five College Astronomy Dept', 'Northampton MA 01063', 'Massachusetts (MA)', 'United States']"
Richard L. White,"['Space Telescope Science Inst', '3700 San Martin Dr', 'Baltimore MD 21218-2410', 'Maryland (MD)', 'United States']"
Bradley C. Whitmore,"['Space Telescope Science Inst', '3700 San Martin Dr', 'Baltimore MD 21218-2410', 'Maryland (MD)', 'United States']"
Belinda J. Wilkes,"['Center for Astrophysics | Harvard & Smithsonian', 'SAO', 'Cambridge MA 02138-1516', 'Massachusetts (MA)', 'United States']"
Barbara A. Williams,"['University of Delaware', 'Physics Dept', '215 Sharp Lab', 'Newark DE 19716', 'Delaware (DE)', 'United States']"
Donald E. Winget,"['University of Texas Austin', 'Astronomy Dept', '1 University Station C1400', 'Austin TX 78712', 'Texas (TX)', 'United States']"
C. Jacob Wolfson,"['Lockheed Palo Alto Research Laboratory', 'Dpt 91 30 Bg 256', '3251 Hanover Str', 'Palo Alto CA 94304-1191', 'California (CA)', 'United States']"
Peter M. Allan,"['Science and Technology Facilities Council', 'Rutherford Appleton Laboratory', 'Harwell Campus', 'Didcot', 'Didcot OX11 0QX', 'Oxfordshire', 'United Kingdom']"
David Axon,['United States ']
Michael F. Bode,"['Liverpool John Moores University', 'Astrophysics Research Inst', 'IC2 Liverpool Science Park', '146 Brownlow Hill', 'Liverpool L3 5RF', 'United Kingdom']"
Carlos S. Frenk,"['University of Durham', 'Dept of Physics', 'Rochester Bdg, Sci Lab', 'South Rd', 'Durham DH1 3LE', 'United Kingdom']"
Alan William Harris,"['DLR Institute of Planetary Research', 'Rutherfordstr 2', '12489 Berlin', 'Germany']"
Michael R.S. Hawkins,"['University of Edinburgh/Royal Observatory', 'Blackford Hill', 'Edinburgh EH9 3HJ', 'United Kingdom']"
Paul Charles Hewett,"['University of Cambridge', 'Inst of Astronomy', 'Madingley Rd', 'Cambridge CB3 0HA', 'United Kingdom']"
Ian Donald Howarth,"['University College London', 'Dept Physics & Astronomy', 'Gower St', 'London WC1E 6BT', 'United Kingdom']"
Robert Laing,"['SKA Organisation', 'Jodrell Bank', 'Lower Withington, Macclesfield', 'Cheshire SK11 9DL', 'United Kingdom']"
Anthony Eugene Lynas-Gray,"['University College London', 'Dept Physics-Astronomy', 'Gower St', 'London WC1E 6BT', 'United Kingdom']"
Alexander Lachlan MacKinnon,"['University of Glasgow', 'School of Physics and Astronomy', 'Kelvin Building', 'Glasgow G12 8QQ', 'United Kingdom']"
Thomas Muxlow,"['University of Manchester', 'Jodrell Bank Observatory', 'Jodrell Bank', 'Macclesfield SK11 9DL', 'United Kingdom']"
